State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
TX,Schleicher County,424302,54973,51570,27366,190319,37824,33896,21317,5706,1256,75
MI,Macomb County,90121181,27579709,19468985,10646391,13855978,13410266,3720645,802988,481701,110175,44343
KS,Gray County,942336,155531,276191,107329,134592,159291,85634,12375,8614,1666,1113
MS,Harrison County,20144168,5994001,4616470,2352997,3413393,2774835,573200,276532,114844,22394,5502
AL,Franklin County,3166176,686381,691093,405800,534155,437857,218854,149982,35353,5793,908
MD,Frederick County,28947967,7937515,6589916,3537340,4451984,3536649,1996559,731955,130512,23654,11883
OH,Brown County,5718031,1347198,1321603,575722,654097,1105461,549232,133918,23251,6541,1008
IL,White County,1628381,340764,352745,157328,219403,286331,150786,90823,26831,3074,296
NJ,Bergen County,90907769,25962425,23198319,11482555,13948820,12000692,2649770,1093553,445592,76693,49350
TN,Hardeman County,2710669,536764,633280,312853,377745,391982,302039,100984,33267,19665,2090
IN,Marion County,105732682,32101904,23951879,13891600,18090561,13382935,2239501,1016791,752530,218565,86416
PA,Montour County,1844515,428815,390870,259222,259497,355132,75874,45162,27609,1058,1276
KY,McLean County,1109508,189636,340097,92911,123571,267324,72400,11205,11393,711,260
VA,Orange County,4162857,806058,859834,577984,622193,855416,262471,144288,30582,2869,1162
SC,Sumter County,11289104,2742480,2835924,1445911,2073648,1282425,583928,206289,102693,12964,2842
IL,Grundy County,5827633,1470724,1161427,513702,734102,1290694,461953,140171,38327,13120,3413
NE,Wheeler County,111709,16558,8113,20949,10217,40228,9764,5040,840,0,0
UT,Beaver County,533938,142745,144618,19203,30815,52541,69172,50212,22882,1310,440
FL,Duval County,103420821,29509408,25044080,13464797,17068772,14093875,2558846,772555,663096,194160,51232
MT,Carter County,100423,32050,17188,2185,14455,6066,12875,11281,3836,234,253
IA,Butler County,1919497,471569,373199,116351,257878,435585,193738,42909,24026,3948,294
IA,Lyon County,1749052,469633,434322,189030,187764,282825,129376,34102,18106,2210,1684
WV,Cabell County,7997734,2318243,2019429,965569,1235688,956099,290226,121685,75623,10183,4989
IA,Hancock County,1190081,254693,214674,63015,191800,310900,99577,31790,20161,2693,778
NC,Alleghany County,1193585,190712,354351,187755,217472,158270,52707,18340,9470,4202,306
MN,Waseca County,2114447,530660,405006,150092,226628,464058,218227,91991,22978,3448,1359
IA,Van Buren County,1002062,202503,237119,141455,87890,223372,74375,22788,11535,837,188
NE,Washington County,2368725,547764,561196,231803,284054,496378,194261,29561,15628,2754,5326
ID,Bingham County,4866759,1126766,1007416,500581,670414,803812,560367,114518,62706,15774,4405
OK,Caddo County,3485653,810732,653429,323556,537056,671610,342742,114636,24206,4695,2991
MN,Pipestone County,1232252,377086,215432,73614,172032,212911,118510,48725,12661,922,359
LA,Beauregard Parish,4613392,1133426,1119366,521030,615562,701204,310273,146901,54156,9891,1583
LA,Concordia Parish,2092216,568171,473642,214831,388384,276150,99537,38310,26077,5929,1185
MI,Mackinac County,1123690,363972,206755,118499,181649,144323,58316,35640,10140,3742,654
CO,Prowers County,2015200,688917,539808,95695,262548,238756,73711,72462,39842,2887,574
OH,Cuyahoga County,130967269,41967009,30013819,15462157,21056383,17331632,3324857,960419,657290,97281,96422
OK,Mayes County,4704038,965634,976844,628133,803675,823998,342576,124958,29415,7424,1381
TX,Edwards County,244414,114940,41791,7702,12167,19240,26184,18787,3047,367,189
IN,Floyd County,8422859,2324424,2229005,967270,1332341,1201572,219720,65275,69830,8463,4959
MA,Hampshire County,21205925,4815061,5039693,2648201,3623778,4005517,759882,219655,75755,12098,6285
IN,Vermillion County,1843649,461555,386080,169718,269485,372491,114364,52400,14821,2162,573
MI,Muskegon County,19379297,5166785,4610482,2688969,3178752,2542445,778253,263147,123678,17884,8902
GA,Telfair County,1813232,426652,560992,148780,180080,246670,155448,56161,31615,6324,510
NY,Sullivan County,10888332,2268531,2380442,1288326,1789180,2232722,567691,239583,116844,3961,1052
SD,Dewey County,850318,181612,337000,49131,54602,77371,82009,51494,16715,255,129
OH,Gallia County,3211043,670360,769779,400656,462778,546529,180460,122175,52231,4983,1092
NE,Webster County,632502,127160,213401,23397,78821,116668,56202,15206,1588,59,0
VA,Giles County,1974951,380850,521749,241641,323210,332251,121358,33715,14845,5246,86
NE,Otoe County,2035440,459296,527491,231144,196476,302503,222218,82761,10911,1875,765
CA,Alameda County,136047644,38979323,35562583,15585060,17335694,19575680,6416524,1731740,586912,134589,139539
FL,Volusia County,62997506,17326852,16218265,8673694,10022981,6698438,2805714,893913,254093,58553,45003
PA,Lycoming County,11964717,3163349,2789162,1596252,2037638,1494068,487180,261833,126043,4717,4475
TX,Randall County,15316690,4054603,3888751,2166747,2552089,1838744,365132,245739,136799,53867,14219
OK,Washington County,4989210,1459432,1410436,727539,503739,445022,255888,145915,29614,7112,4513
TX,Yoakum County,949726,322735,221467,54494,49565,143137,80108,61474,13722,2928,96
WV,Mason County,2445360,515243,521504,292904,340884,498288,167755,75033,28512,3972,1265
MS,Tishomingo County,1545845,346873,356858,198331,237885,203556,140891,35189,20527,4406,1329
KY,McCracken County,6806625,1633379,1792217,1049635,1175380,763565,228169,82983,66205,10070,5022
TX,Castro County,861855,194493,206124,135855,54263,156113,66879,38629,7841,1550,108
KS,Hamilton County,432614,110030,35635,15839,140774,82656,27747,14367,4661,905,0
WV,Pleasants County,600974,124954,135373,44403,115228,116045,38605,14819,11035,397,115
NV,White Pine County,661536,151278,211336,35457,57242,36027,50491,59293,52337,7797,278
OK,Tillman County,703395,120237,161658,79172,120188,117669,66958,29991,5477,1915,130
WI,Columbia County,6449084,1401892,1406467,645988,712081,1345591,677288,173880,70946,11859,3092
WI,St. Croix County,11952492,2899454,2679776,1360284,1509564,2213358,912622,271967,83616,16035,5816
NC,Gates County,1343812,273149,242459,191484,201936,194635,186618,46374,5730,1106,321
WY,Carbon County,2087633,740310,623714,159229,216111,160504,123145,38686,24443,955,536
NV,Lincoln County,475733,88224,65079,7615,26871,157410,103878,14801,9670,1589,596
GA,Thomas County,5448085,1477661,1490124,659722,705814,665979,301269,97730,41998,6460,1328
IA,Cerro Gordo County,5275781,1541231,1533269,702872,587629,567189,178629,84418,69929,6518,4097
OH,Washington County,6217957,1415339,1591928,744033,916453,1078466,241140,119781,100552,9440,825
IN,LaPorte County,12640958,3552569,3089221,1470105,1606864,1924460,655156,257216,65205,13295,6867
TN,Moore County,864959,203826,178120,109968,153703,153698,35974,21435,6623,1310,302
VA,Covington city,534619,219112,159445,30996,43961,61158,14279,2554,2928,137,49
MI,Van Buren County,9274167,2273540,2198126,978793,1182775,1789986,615391,154016,71358,6692,3490
IL,Clinton County,4550478,1098567,933940,368981,626657,883414,465273,118809,40177,11796,2864
GA,Macon County,1618770,344354,342365,186353,204579,281021,159153,60488,38613,1844,0
FL,Brevard County,67739715,18740997,17505329,9001136,11292973,7806138,2145768,891542,251401,36865,67566
IA,Iowa County,1717324,268394,482237,166506,238586,326211,180596,35941,14716,3788,349
GA,Whitfield County,9751018,2301853,2336754,1264406,1576299,1565466,469376,132281,89363,13740,1480
LA,Winn Parish,1557989,326958,422874,146626,200576,276525,113937,52626,13589,4045,233
NH,Merrimack County,16975788,3511090,3814953,2023933,2855980,2917014,1345518,430259,64073,7120,5848
NC,Columbus County,6033986,1231219,1389772,684616,855859,1049273,568439,162876,80719,9987,1226
MN,Houston County,2359963,424307,721793,234793,316098,394581,161499,76048,26465,2485,1894
MN,Nobles County,2603767,682834,689647,181385,364647,407296,158112,84313,30066,4151,1316
OH,Erie County,8326712,2609624,2028233,894611,1141217,1083744,304104,187911,60364,13223,3681
AK,Kenai Peninsula Borough,6065740,1379591,1548471,658074,906081,1031273,371888,133655,23817,4470,8420
NE,Brown County,299171,64835,21292,6855,14027,159982,14961,11636,4836,557,190
GA,McIntosh County,1688429,328609,288833,197300,337222,351251,149402,25540,8699,1518,55
FL,St. Lucie County,38239121,10952164,9290001,5265804,6142467,4457199,1156309,653684,259512,22561,39420
IN,Clinton County,4143232,1106335,1104626,378467,523890,675075,250740,64279,29153,6948,3719
LA,St. James Parish,2756697,709875,738636,379579,332701,410344,147520,24515,8870,3290,1367
AR,Perry County,928136,159556,152366,76238,141242,206320,140026,38249,12575,1374,190
GA,Bibb County,16440283,4552353,4205601,2154059,3001783,1724485,411070,242869,119587,21447,7029
DE,Kent County,17952391,4316011,4116800,2190907,2829041,2872725,991841,528255,99353,3019,4439
MO,Barton County,1228715,215756,340514,130100,204301,183835,83926,53125,11571,4865,722
IN,Cass County,4288111,1105830,1186322,527268,513917,533176,257597,119538,37444,3995,3024
GA,Pierce County,2499869,543730,583204,260440,460162,435480,101855,77138,30838,5971,1051
ID,Jefferson County,3457546,712590,961530,310967,349640,868238,121077,100919,20868,7995,3722
TX,Cochran County,377063,150875,50956,12765,30056,46742,53109,28919,3143,410,88
LA,LaSalle Parish,1778416,461933,416368,215710,225606,221277,140250,66672,25137,5178,285
PA,Mercer County,12754925,3151831,3107650,1764882,1880173,1919900,567293,290379,58897,11579,2341
MT,Carbon County,1284260,302974,273834,111747,159977,238056,128039,44700,20226,2691,2016
MS,Lee County,7491204,1811152,1873547,954935,1343016,1007892,260935,130846,80488,23921,4472
NC,Pender County,6724859,1411151,1441301,744360,1093055,1360253,485556,127056,50475,9451,2201
FL,Calhoun County,1632910,396388,210288,179896,269737,318377,157096,92492,5904,2595,137
NM,San Miguel County,3401803,962364,991151,252632,205669,505038,271935,151812,51704,7763,1735
FL,Monroe County,10170483,3544251,3017411,1273655,1013068,757759,432078,76472,41660,6306,7823
WY,Crook County,1095622,342299,192554,45172,87212,238160,127856,49136,9403,2855,975
CT,Hartford County,94183148,24838561,25252306,11911879,14036010,12998431,3189258,1500430,375617,45017,35639
CA,Inyo County,1399050,280923,281135,181811,80668,392380,88624,49581,29619,11980,2329
FL,Franklin County,1680429,431429,346948,102856,349578,307401,75128,55266,9267,2059,497
NC,Lincoln County,9003133,2205368,1983001,1042645,1467674,1564187,566618,96892,53373,16865,6510
SC,Beaufort County,21463396,5966274,5780058,3095556,3405130,2466542,452269,161672,92616,31184,12095
TN,Pickett County,543732,85195,126339,74684,117835,76452,46129,10837,5261,931,69
KY,Nelson County,5470903,1238944,1182122,681783,900511,859686,456871,94140,50533,5194,1119
IN,Fulton County,2322015,647182,553773,192317,306417,371082,154879,69435,25078,1528,324
TX,Uvalde County,3282054,889834,927632,356189,362773,347790,239556,124415,30745,2603,517
OH,Crawford County,4683485,1309401,1275922,451633,561476,730040,216813,100698,32645,4231,626
LA,East Baton Rouge Parish,48720374,13738968,12106583,6610775,8365443,5453022,1066506,951566,307179,82101,38231
NM,Chaves County,8383905,2391743,2390404,1215860,1089021,609922,355178,179040,135720,12599,4418
GA,Wilkinson County,861424,115201,199931,123592,110023,181900,93006,18418,17590,1466,297
OH,Ashtabula County,10216722,2322156,2835017,1133580,1351385,1637736,566699,283439,74452,8194,4064
VA,Carroll County,3298379,564377,703621,483594,583862,609752,166685,105741,68266,10680,1801
CA,San Mateo County,55480837,16307050,14262500,6127823,7506518,7537714,2672809,626129,296734,76626,66934
OK,Cimarron County,375186,78934,185392,7954,30755,41959,9841,14717,4922,602,110
MI,Montmorency County,1210943,306469,267594,149381,177562,132381,123276,30872,21628,1558,222
KS,Hodgeman County,253762,89470,30110,6982,12248,84859,19608,5537,4111,837,0
TX,San Augustine County,711973,126614,161352,61242,133353,114546,75716,18483,16418,3849,400
NV,Esmeralda County,52209,9077,13857,3508,3067,1277,10362,9592,1420,49,0
AR,Montgomery County,949478,180530,238262,96485,146640,152522,80428,38107,14648,986,870
TX,Fort Bend County,80035090,19620919,16006465,9880449,13933269,13971874,4749106,1197333,460263,122074,93338
NC,Wake County,113509184,31294967,26680078,13859460,19685437,16032248,3690202,1209848,862494,121108,73342
NE,Buffalo County,5780660,1656265,1669810,726077,557090,612108,329020,143474,77073,5708,4035
OR,Douglas County,10425268,2354650,2244091,1045364,1599281,2124648,602018,326172,106134,20853,2057
IN,Henry County,5692394,1392542,1233272,552579,830667,935098,553402,156406,34241,3289,898
NJ,Somerset County,33279767,8398562,7763471,4076204,5525303,4810026,2133749,427829,121291,7137,16195
OH,Belmont County,6959151,1689327,1475328,755300,1133856,1342951,330754,180371,42190,5010,4064
KS,Bourbon County,1382071,319951,364890,210359,105311,205376,82478,40491,43212,7502,2501
MI,Jackson County,17334137,4784392,4107289,1994864,2360672,2490433,939376,501307,128844,19612,7348
TX,Oldham County,197486,51183,36701,10642,13853,35592,37121,10291,1719,333,51
ND,Dickey County,539914,132150,178815,21479,54382,104351,23775,16862,7170,554,376
WA,,838589261,222292727,194989855,94387265,130448842,134847284,42203606,12204462,5299889,727614,1187717
KY,Robertson County,237574,51190,31320,17603,37473,55557,17395,11446,13706,1884,0
IN,Shelby County,5953566,1606212,1600011,558277,665226,981329,428788,78244,27014,6095,2370
MT,Richland County,999751,273378,301499,87738,58589,128467,90878,40389,12537,3902,2374
TX,Knox County,424764,137614,56091,45977,29318,87184,35978,22207,9580,667,148
KY,Woodford County,2855098,635641,805902,303752,325080,640299,66504,47580,23047,4906,2387
MD,Cecil County,11632958,2612701,2594868,1395941,2044838,2018833,603218,281550,67587,7857,5565
WA,Kittitas County,4151366,976954,1167067,352014,454343,660311,296799,162616,66849,10054,4359
CO,Garfield County,7639764,1819662,1653164,740087,983840,1342088,731142,288323,62681,9428,9349
TX,Caldwell County,4869652,1053817,1202089,508322,548610,942153,447488,117230,39545,7218,3180
TN,Smith County,2222784,375505,461547,249513,429833,361143,241416,78979,17798,5364,1686
VA,Harrisonburg city,5004857,1494899,1409598,657712,460544,606196,258352,52133,53221,10346,1856
KY,Grayson County,3141578,597592,792673,286354,517165,481730,293675,133288,33451,4174,1476
CA,Butte County,19359138,5306079,5253344,2514245,2635135,1865070,1165447,427157,159129,12837,20695
MI,Calhoun County,15410919,4341222,3650390,2067198,2448860,1758298,720513,284650,120239,13853,5696
NE,Nuckolls County,564171,120266,215117,31104,42283,94155,33564,20665,4945,1952,120
MT,Garfield County,145606,20474,20970,1897,3843,73129,11218,10737,3054,58,226
OH,Fayette County,3257420,731287,862119,354532,416328,468165,308122,84826,24844,5981,1216
SD,Lincoln County,6141728,1615792,1307441,763939,1184570,829586,212903,114780,94082,8546,10089
NC,Surry County,6883530,1496673,1674002,821430,1140013,1065665,419555,155987,90901,15113,4191
FL,Indian River County,19039455,5206721,4764637,2761126,3380486,2106435,507480,177304,100737,12493,22036
MN,Lincoln County,640732,57878,112296,194224,69840,81320,81541,32409,10018,986,220
AL,,530885021,122510887,118932308,68618431,90919854,85989063,27283317,10537262,5052556,830637,210706
NC,Haywood County,7094622,1695632,1723872,936139,1214750,1091790,321960,69575,33805,6059,1040
IA,Sac County,1178513,263879,320420,139445,116765,206386,77298,29467,23370,895,588
CO,Baca County,541721,129263,79344,16716,171127,65846,33162,27171,15671,3370,51
IA,Louisa County,1345054,210603,256042,83005,263307,292012,184743,34265,17538,3322,217
TX,Howard County,4314458,1146706,1332673,591527,514703,340966,172175,152923,43743,12531,6511
SD,Stanley County,394436,79780,149203,75329,28760,16313,21455,17727,5294,203,372
GA,Haralson County,3273851,669366,706513,479018,481829,585439,224283,92786,30431,3465,721
KY,Ohio County,3067411,625839,654855,369926,527182,539171,249733,71770,25344,3378,213
ME,Washington County,3640578,629241,756394,413273,751816,707674,284341,75775,20828,330,906
IA,Monroe County,747838,112915,164123,54362,106581,147044,114452,39314,8130,663,254
MD,Carroll County,19134041,4773650,4276589,1681257,2516137,3788050,1584776,382849,110945,12865,6923
MN,Sibley County,2146465,567271,462082,163787,276146,345127,209131,103329,16772,2531,289
IA,Bremer County,2878028,688174,700452,258166,338577,599098,204660,51405,34391,2300,805
SC,Horry County,34689667,9195897,8332329,4658962,6110280,4787311,1059019,262553,229604,40781,12931
GA,Houston County,16233049,4273107,4186906,2255503,2654690,1937384,468807,228007,189582,27514,11549
MI,Arenac County,1720985,301111,419725,260579,243464,234672,189635,48032,21517,1224,1026
AR,Miller County,4257117,1078244,931969,580268,661609,698303,177489,82391,40198,5382,1264
NC,Union County,24588727,5457844,5626551,2812121,4231029,4600340,1335389,252190,221038,35500,16725
MI,Iron County,1347784,375321,232813,107002,258438,238622,80390,37856,12467,3492,1383
IA,Hamilton County,1721564,364810,409912,193521,174384,355734,125812,68172,26274,2266,679
OK,Okmulgee County,3862401,1010165,898855,348908,492494,667069,308675,91620,31689,8342,4584
TX,Falls County,2017295,425396,427352,234980,242316,374629,221362,59719,27997,2666,878
TX,Armstrong County,237040,90572,26366,10849,14141,52031,35416,3690,2931,674,370
IA,Emmet County,1075238,305550,326144,73381,108831,142700,77263,26381,14447,360,181
MN,Mille Lacs County,3419308,741290,675944,430655,462229,537618,384622,152835,29843,2882,1390
TN,Robertson County,8272928,1748722,1898793,843016,1460809,1416354,718798,114415,55279,10651,6091
KS,Stafford County,616881,228505,96867,18241,116029,73003,60339,15073,7617,1138,69
AL,Cullman County,9199039,1932112,2060153,1160205,1591383,1580460,537590,239402,76998,16815,3921
IL,Jersey County,2546470,627887,546664,218576,321779,471115,220270,82990,44820,9655,2714
NE,Fillmore County,646329,199670,70397,68212,96789,95088,69092,36999,9028,880,174
MS,Kemper County,1047448,190193,202940,96747,206027,204721,105467,33428,7350,453,122
WI,Pierce County,5412196,1050733,1135286,647357,794119,1112963,471131,148719,40562,8849,2477
TN,Sullivan County,15689725,4135714,3624197,2002795,2539138,2402628,686081,146593,118049,30695,3835
GA,Lumpkin County,3025553,503219,586548,410976,510797,600786,253090,125481,29739,3861,1056
CO,Adams County,66053472,17711592,14279420,7549776,10680162,11766225,2770640,767287,303981,108048,116341
ID,Minidoka County,2372604,476151,699521,246869,499762,275737,67693,66932,31201,6418,2320
OK,Major County,892088,177592,175115,110139,98179,213799,80070,31433,4543,596,622
KS,Kearny County,714682,213734,252787,23336,63421,74356,64665,12307,6788,1751,1537
NC,Camden County,1093901,182718,203779,99492,216564,234223,109418,31817,13991,1749,150
MO,Butler County,4427139,1056592,1125082,657602,641649,470302,218136,160096,75261,16223,6196
TX,Hamilton County,1089640,342348,361895,54110,75961,142346,71448,26725,11729,2759,319
WV,Summers County,1209030,221502,251966,133096,244737,223766,93971,26880,11481,728,903
OH,Wood County,14109142,3385452,2916357,1674945,2344319,2777689,610640,242476,141769,11005,4490
SC,Allendale County,960264,204562,202245,74029,150672,152915,78760,81266,14824,776,215
MT,McCone County,193509,21670,114823,8428,8824,17659,11797,8076,2050,116,66
FL,Holmes County,2267810,476097,468203,254026,289260,454051,202322,77870,37819,6991,1171
PA,Armstrong County,7636784,1788403,1596391,987519,1076621,1378384,598017,168006,36250,5290,1903
OH,Harrison County,1566352,293065,287955,209691,229053,279977,193238,57607,14552,650,564
GA,Baker County,598013,132125,95627,68658,138105,116301,36534,7956,2353,354,0
SC,Clarendon County,3230211,697033,638135,384761,487944,584506,261738,131883,33808,9037,1366
CO,,831400129,224819751,189206932,99718084,133659495,129195417,35169419,12844118,4276002,1029478,1481433
KY,Marshall County,3504617,740493,737015,411899,556135,709207,248302,47566,48281,4071,1648
AR,Monroe County,742020,152262,138713,119129,144098,90997,44890,42825,8760,308,38
AZ,Pima County,98506680,25803999,21464472,12012905,17354323,16391219,3178873,1240462,573393,348167,138867
CO,Mesa County,18350443,4704103,4572285,2531784,3196377,2483606,442912,247736,132832,25218,13590
IL,Alexander County,805573,178657,151456,80503,175920,136678,53205,11751,13819,3299,285
TX,Stonewall County,198376,48769,63467,29416,5836,20716,19366,9237,1391,178,0
WV,Marshall County,2786973,749209,593329,274522,478353,497632,107087,66766,17454,2466,155
MN,Steele County,4518044,1253032,1211632,470665,424576,648548,309750,165938,25734,5816,2353
TX,Bosque County,1943585,533142,272318,124827,296143,370716,224814,88547,28674,3364,1040
OH,Portage County,17462881,4157588,3747499,1609175,3253932,3347705,1051178,178551,95698,15619,5936
MD,Wicomico County,11864797,2825664,2759496,1655565,1941108,1612831,883904,110629,71416,2781,1403
UT,Iron County,5542497,1239351,1405995,747710,859831,528168,426492,227465,77560,23822,6103
WY,Laramie County,13207233,3639915,3795423,2297476,1823620,828861,343354,316736,141283,12333,8232
IA,Fayette County,2395283,495111,682472,232676,245166,366944,239675,99103,31204,1978,954
KS,Riley County,8955907,2422666,2487498,1383100,1091784,1065739,247418,179022,53959,15810,8911
TX,Leon County,1663913,266467,293251,177613,327271,277451,178844,107605,32831,1989,591
VA,Cumberland County,1101694,153845,251857,149760,169620,177502,125124,61442,12051,493,0
UT,,367613420,94790277,88960305,45663700,54780271,52587670,20204922,6313519,2907682,780438,624636
WV,Lincoln County,1923500,347481,413209,197227,304695,486593,129664,31202,12597,741,91
IN,Fayette County,2697374,730928,661139,307180,339601,408762,163639,69579,11529,3909,1108
IL,Kendall County,15257477,3541864,3147248,1885018,2518208,2665818,1131844,269805,73166,17159,7347
NH,Rockingham County,34027785,7920553,8510707,3663218,5124032,5756461,2201078,693425,128490,14759,15062
MS,Covington County,2247005,518787,457940,185908,332495,493055,177763,46530,29579,2761,2187
SD,Roberts County,1167896,174538,238479,131030,214036,258179,85817,48596,14685,2322,214
IA,Carroll County,2370109,735192,619275,134708,244621,362203,166210,74914,30768,1524,694
AR,Benton County,25969641,6224995,6179098,3249243,4492945,4287521,910918,317201,240685,46899,20136
IA,Washington County,2269356,539987,567546,158211,240038,387210,243155,81716,42817,7517,1159
MO,Andrew County,1769583,304511,362103,241356,270011,397428,115451,52863,21440,2719,1701
KS,Jefferson County,2336916,400838,562163,253292,342243,503103,197790,53004,14565,7246,2672
NJ,Ocean County,65230738,18568338,15773215,7368143,9410930,8496229,3093187,2253197,198010,40846,28643
CA,Mono County,1411924,319449,292230,150104,335050,183875,73910,33798,17813,5425,270
MS,Jefferson Davis County,1163820,227832,200044,149516,221605,180065,121819,52573,8664,1220,482
TX,Ellis County,17029769,3810321,4042495,1766970,2300350,2866512,1622878,438079,141891,26872,13401
TX,Fisher County,363834,111152,71024,29036,41173,57202,36970,9440,7040,696,101
MN,Nicollet County,4491784,1372115,1009073,505694,538606,714568,190736,119691,34604,5008,1689
IL,Rock Island County,17362821,5122150,4151230,2123754,3223292,1903432,406308,222142,185469,19470,5574
GA,Schley County,600093,105244,146123,75209,45556,137113,38808,34854,16398,788,0
KY,Franklin County,5846361,1681395,1553866,837548,809338,519081,309246,79774,49142,4944,2027
FL,Columbia County,8237757,1742848,1983634,1076020,1435941,1143731,523900,235339,79890,13077,3377
OH,Logan County,5126821,1098511,1230682,535991,763395,968239,324383,154535,44359,4376,2350
VA,Campbell County,6362212,1274666,1357472,925494,1220796,1097716,242844,173222,60699,7332,1971
AL,DeKalb County,7920681,1443360,1960509,1044592,1347401,1518362,400276,128772,66145,8629,2635
WA,Douglas County,3676348,907036,1173216,533757,381564,345406,201222,97895,31634,2145,2473
CO,Gilpin County,746182,120921,165957,99458,140417,132389,69057,14630,1974,869,510
KS,Jewell County,410731,118570,35594,37605,44824,82092,66002,20208,5666,170,0
AR,Jefferson County,6713845,1895424,1599668,973078,1008155,623370,312294,225961,61149,13173,1573
NM,,281446823,72810845,71580338,36122154,42855104,35953273,11721572,6274285,3115442,785063,228747
NV,Churchill County,2124066,563594,641006,189299,201701,307974,121324,77826,16597,2492,2253
SC,Lancaster County,10757875,2430173,2540299,1336044,1797466,1752253,668421,151755,66501,10075,4888
OK,Rogers County,9644931,2303774,2262358,1214932,1286202,1669487,657925,157538,69325,16774,6616
SC,Cherokee County,5633434,1265295,1305631,681565,777970,964707,444905,133172,49194,10161,834
NY,Cortland County,6635832,1536359,1460265,820578,1161601,1083029,431920,94478,43911,2872,819
NC,Polk County,2181670,442861,512602,227346,386782,396311,156179,34588,18693,5169,1139
LA,Tensas Parish,738006,116986,162816,92095,170664,115152,59014,14265,4884,1875,255
NE,Greeley County,310051,80605,25924,17591,62085,75966,28543,15174,3526,568,69
OR,Wheeler County,151537,19181,8334,20268,62068,21589,12329,4793,2949,0,26
ID,Boundary County,1176625,246984,251712,195174,199718,145829,75849,46397,11195,3072,695
WI,Clark County,4587145,1039456,795607,460772,667730,942083,435661,187156,46950,10824,906
SD,Brookings County,3437916,796729,922744,449743,398936,546657,147216,135023,24191,13393,3284
UT,Wasatch County,3378726,695675,942412,410674,392021,519431,353361,35795,15985,4673,8699
NY,Warren County,8738517,2180622,2111075,1259930,1681557,932838,347261,158811,59922,4168,2333
KY,Pendleton County,1865248,334972,388340,261603,288201,327599,214498,37318,10680,1747,290
NC,Alexander County,4618024,1039253,1102161,453697,882958,819942,207327,76452,26373,8283,1578
CO,Denver County,91366893,29912744,19532059,10410599,15031969,12935698,2071643,794968,316053,111185,249975
CA,Stanislaus County,45318943,12372243,11738171,5241107,6107134,5641002,2282204,1498860,352239,59560,26423
AR,Lonoke County,6175036,1402836,1352016,597305,921752,1042979,526271,165684,139627,23429,3137
OH,Richland County,13955422,3614748,3724918,1905187,2289946,1570400,410423,340089,91404,6382,1925
CA,Orange County,249497299,70247356,60091622,30737238,36584577,34939537,12429587,3009015,915194,323471,219702
NE,York County,1540767,352957,418692,197154,181823,196009,92175,80306,19151,1797,703
CO,Jefferson County,72043793,19822692,16580393,8880714,11429063,11473823,2587465,763605,289837,76979,139222
ME,Piscataquis County,1725340,336020,278633,289108,297965,338392,132062,42934,6821,1894,1511
TX,Calhoun County,2445884,642309,670698,284083,310360,309911,136186,60988,28956,2192,201
KS,Chautauqua County,346499,75829,53579,38120,96813,45333,27875,6493,1951,414,92
IL,Winnebago County,33888197,9782064,7401847,4320635,5950447,4050737,1284502,820629,214001,41053,22282
AL,Marion County,2662671,445554,694661,354920,486395,395016,158097,81144,40799,5451,634
TX,Young County,2001601,688562,509118,175341,143396,260355,130609,65266,26689,1657,608
CA,San Bernardino County,187496522,47362609,43462385,21471508,28231149,26021371,12917967,5746910,1702314,463548,116761
IL,Marshall County,1324106,304283,199813,77425,228947,287443,179809,28235,16291,1070,790
IA,Scott County,18780547,5164852,4317678,2643260,3358424,2284543,455561,310838,214549,25673,5169
AR,Newton County,694521,105519,102109,40966,159231,194137,56434,22390,11886,1809,40
KS,Pratt County,1108533,308901,328822,87329,138248,111438,84280,33698,13183,2367,267
GA,Wilcox County,1087597,247034,144204,157258,165502,204729,110627,39729,16442,2015,57
WY,Uinta County,2122060,523335,602715,376463,188617,170159,103712,113392,38869,3928,870
VA,New Kent County,2685104,503483,464736,373811,419039,580114,231549,83604,22440,5284,1044
MO,Ozark County,1065863,241819,261597,103899,139747,172638,88998,38092,16479,1963,631
FL,Madison County,2128511,432345,494714,260520,299200,311912,183002,98828,42407,4437,1146
TN,Decatur County,1052063,157294,236928,85071,187380,226123,93837,41041,18723,4883,783
IN,Pulaski County,1758166,465919,422592,255770,205201,216734,113680,61062,16150,877,181
WA,King County,199584703,58627347,46683627,22084695,29799372,31288562,7797572,1780044,908538,120940,494006
AR,Logan County,2380795,590463,640396,209890,346523,344296,165932,52938,27581,2319,457
WV,Boone County,1767908,262142,325669,154733,298121,433788,254492,26587,10192,1952,232
LA,Washington Parish,6152021,1539008,1725241,687836,790742,768611,412090,177684,36518,7938,6353
KS,Saline County,5880700,1814340,1995296,913470,469494,343454,151653,97959,79151,11186,4697
IA,Cedar County,2145299,516792,363646,202403,320015,406328,249304,54796,25635,5891,489
TX,Motley County,132528,24607,47606,9464,13582,18272,9917,8202,587,291,0
IA,Webster County,4482763,1301940,1145585,605661,432251,596632,229698,112776,47344,5531,5345
GA,White County,3091824,541983,799807,348650,546618,494606,223257,103865,28831,3555,652
