State Postal Code,County Name,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
CO,Boulder County,38256160,10749635,10305519,5011564,4574104,5111328,1940439,293541,152032,41367,76631
KS,Haskell County,571281,136461,168120,21765,63376,108570,61669,7377,2114,1132,697
TN,Polk County,1858646,383119,363652,202261,324643,401528,138231,21748,20683,2567,214
NE,Loup County,,,,,,,,,,,
IL,Pope County,548206,108770,64222,46630,85166,173415,52622,9566,7349,307,159
IN,Hancock County,8691356,2198283,1930121,938471,1382888,1579088,469729,107068,69919,10598,5191
TN,Hickman County,3202704,583943,654112,488284,483556,548130,339624,81108,15220,7520,1207
NH,Coos County,3332924,575136,784954,440896,572311,654427,206223,57091,40700,625,561
VT,Addison County,4307533,903757,955675,452508,675538,851365,384640,60820,17136,4277,1817
NE,Sherman County,368275,98485,62789,30331,53212,57349,46242,16056,3062,619,130
MI,Manistee County,2947835,733128,680824,352095,392875,495282,192538,76909,20765,2418,1001
AR,Franklin County,1733300,413466,360374,193555,297416,238101,156090,35149,34352,4476,321
WA,Clark County,46859751,11920348,10442768,5099622,8413002,8446363,1440078,536207,426413,66023,68927
TX,Mason County,517047,176702,134798,19666,68811,44468,40661,26794,4432,681,34
CO,Saguache County,812880,156456,124452,41019,106885,176548,170316,27137,7554,1916,597
KS,Stevens County,849930,190136,341660,100181,31432,95460,63525,14152,10561,2516,307
GA,Johnson County,1239155,254862,327552,130888,124304,231001,112566,36712,17841,3429,0
OK,Tulsa County,67085644,20630001,15790434,8562985,10750015,8625229,1442356,719064,415710,100299,49551
MN,Brown County,3099181,931635,795632,323009,324343,402433,213108,83381,20570,3066,2004
AR,Crittenden County,4053443,1061201,1054599,465872,486376,574636,230596,99001,52014,26954,2194
MS,Greene County,1774207,370288,378735,191243,300797,345258,121621,56728,7593,1203,741
PA,Sullivan County,688711,115141,114393,94148,122764,122838,93331,15538,10220,210,128
VA,Middlesex County,1308728,283404,385387,149112,154236,223384,66415,38752,6255,1105,678
TX,Crane County,587629,217524,107947,48035,35368,81943,71415,16046,6310,2566,475
NC,Burke County,9028107,2046066,2283394,933063,1499011,1684871,370614,139417,51854,17331,2486
GA,Franklin County,2174640,344764,582770,260343,273425,409397,206902,72378,20337,3802,522
NY,St. Lawrence County,15725505,3750078,3324206,1816509,2760934,2921334,770367,233081,140653,6660,1683
CO,Sedgwick County,309355,37238,124044,16356,36706,52324,23817,10014,8060,615,181
NE,Boone County,588184,153781,131897,65178,47676,90714,69433,23780,5344,260,121
NY,Wayne County,12942435,2809387,2764209,1595647,2199401,2605609,708248,177283,72715,7303,2633
NC,Caswell County,2608435,507033,471028,391650,445902,479604,204345,55533,47747,5168,425
KY,Owen County,1603087,323034,327491,211640,243965,286437,156824,32109,18680,2306,601
ND,Richland County,1875561,516606,462918,147752,226090,200292,210809,88602,20404,912,1176
VA,Henry County,5371794,1057585,1296954,743834,986242,850857,261325,116000,45823,12652,522
OK,Le Flore County,5778345,1420222,1201722,661116,943494,975778,358922,127268,78406,9553,1864
MN,Kittson County,516198,61670,74156,45076,109044,159420,46733,17473,1986,485,155
MI,Luce County,590382,113060,146258,77926,59651,92900,35987,49313,12200,3087,0
TX,Orange County,9664337,2592078,2386706,1084337,1452689,1552193,407174,118140,60379,8423,2218
AL,Lawrence County,3813298,742999,803676,465277,589439,836700,274501,67387,27763,4910,646
MO,Chariton County,1079591,314381,186625,79485,171947,206149,77768,26360,15817,1028,31
KS,Grant County,924467,259175,355926,58272,54510,77531,65916,36778,12522,3578,259
MD,Howard County,34322116,9227968,8768666,4313424,5123928,5079559,1397695,239955,127913,26949,16059
MI,Ottawa County,33569482,8892705,8223304,4160130,5175654,4960406,1427044,404124,276184,31084,18847
TX,Collingsworth County,322311,132152,84958,13297,21071,28753,23753,12129,5211,866,121
OK,Oklahoma County,83968958,24881361,20406881,10079866,13429013,11490595,2027605,864655,568009,143195,77778
NE,Dodge County,4080029,1275671,1203506,327845,308679,500064,349415,80001,26794,4687,3367
OK,Delaware County,4636284,880257,975637,636494,922262,761583,273204,118667,52144,14212,1824
IN,Madison County,15163334,4118137,3650061,1863737,2116584,2134075,922699,211764,120747,22657,2873
MI,Saginaw County,20377903,5515399,4820755,2475660,2936819,3039264,887721,466800,208036,20045,7404
NY,Livingston County,8924811,1942892,1658593,1009653,1676510,1766562,651485,185663,25008,5478,2967
VA,Clarke County,1488268,258894,389647,140047,177996,331577,122577,54696,10728,1489,617
TX,Gillespie County,2766189,586513,633931,393499,416838,515437,141353,58680,14978,4405,555
IN,Porter County,18349148,4842171,4642207,2054444,2639774,2831368,903264,302897,94508,20524,17991
MN,Traverse County,490634,133424,128762,10491,70665,101366,29138,12967,3515,214,92
MI,Ingham County,30500163,8218631,7472179,4021104,4906089,3596973,1170512,825631,248023,20881,20140
VA,Scott County,2671453,431270,695386,348698,478891,528577,149053,19169,16182,3797,430
KS,Rice County,1451826,289017,517103,94092,129946,209087,166776,35901,7595,2034,275
CO,Pueblo County,20147100,5190293,5177555,2929081,3781575,1647150,816684,445978,122206,15199,21379
TX,Wood County,3759710,705190,707315,402596,707653,669742,321693,134922,96982,10178,3439
VA,Norfolk city,30305163,10410382,6851792,3924980,5099323,3293599,388212,149833,147625,29718,9699
SD,Haakon County,212593,42514,17379,8356,76778,27147,24113,9243,6571,492,0
KY,Montgomery County,2963554,714920,763547,355183,486812,351890,187664,50136,46786,6360,256
WI,Richland County,2013350,397878,424648,228529,289047,344147,200762,97543,26332,4159,305
GA,Randolph County,701655,122169,94264,94877,162173,84493,81417,46475,13456,1501,830
IL,Whiteside County,6591161,1707860,1718987,782746,732999,1051493,353724,160987,74762,6627,976
TX,Crockett County,436706,141279,152301,27126,24845,39829,22970,22492,5313,374,177
AR,Clark County,2377990,522056,531575,240006,360965,409269,189064,96085,24255,4176,539
OH,Ashland County,6732289,1531596,1698962,781873,969907,1161050,394745,152334,35870,3753,2199
AZ,Apache County,7508323,1575902,1398030,515254,1083442,1231708,880620,651405,157890,9734,4338
AR,Sharp County,1568211,260267,439953,227529,260362,232927,71862,42701,30616,1397,597
NJ,Hudson County,68025671,23202231,18902175,7933034,8271108,6918169,1813763,626425,290080,32559,36127
NE,Cheyenne County,927078,260305,291556,86748,53271,107923,78326,31594,14556,2567,232
NY,Suffolk County,183881379,49472726,42360385,22079258,28238642,26638671,10754300,3634364,536776,94396,71861
NY,Oneida County,34064509,9125800,7807815,4173967,5862518,5095799,1258624,528385,190798,14303,6500
OH,Hardin County,3506584,807006,695868,370192,428425,814500,255283,97397,35847,1252,814
WV,Barbour County,1643935,234081,590822,186851,229502,227173,108914,38312,21680,4126,2474
NJ,Sussex County,15588569,3836668,3473291,1629938,2405531,2525671,1324328,334932,50993,4149,3068
AR,Sevier County,1913642,471351,473128,197840,275977,258100,138819,56152,40186,1822,267
OK,Haskell County,1084816,201573,301190,59483,159424,218318,85212,46533,10148,1757,1178
ME,Oxford County,6023305,1151372,1296218,768941,1006529,1285921,372752,94955,39392,4931,2294
TX,Bexar County,200933448,55498300,48383549,25565226,32096195,29709998,5675576,2391729,1299282,204558,109035
TX,Hemphill County,452574,174128,171868,19624,12227,33157,16328,14092,10070,878,202
KS,Decatur County,388712,67197,177543,13870,40672,46903,30603,8479,3193,252,0
VA,Franklin city,858557,273733,227816,58121,52377,110214,97713,30939,6192,1432,20
TX,Delta County,522862,86370,97165,82611,87242,93549,49519,18261,5997,1186,962
FL,Hamilton County,1696612,365853,250137,212175,330794,316270,139933,59067,20960,1207,216
TX,Burnet County,5316059,1036890,1212932,578234,975562,990312,362849,112428,36825,6455,3572
WA,Cowlitz County,10243058,2545099,2886106,1258170,1134642,1254781,606807,420617,111411,20525,4900
