"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available"
"0500000US12099","Palm Beach County, Florida","568915","6021","32939","2796","232510","6353","218160","7101","61858","3917","23448","2587","172412","6796","20704","2128","132305","5984","16381","2555","2044","684","978","711","214992","6884","7259","1525","70154","4617","121364","4849","13628","1909","2587","879","79908","4449","1650","590","15277","2475","38469","3531","20254","2524","4258","1188","101603","4818","3326","1054","14774","2736","41946","3130","25932","2874","15625","2141"
"0500000US12101","Pasco County, Florida","212856","4410","11185","1779","82316","3975","85426","4078","24771","2405","9158","1511","57692","3619","7002","1345","42452","3139","6920","1298","768","403","550","326","83388","3726","3224","843","27624","2233","43249","2967","7404","1252","1887","821","33816","3041","478","398","7670","1710","15680","2169","8174","1485","1814","641","37960","3123","481","344","4570","1312","19577","2409","8425","1350","4907","1002"
"0500000US12103","Pinellas County, Florida","395286","6581","28129","2983","179301","5166","140608","4561","37356","2942","9892","1445","142904","5122","21157","2450","111095","4461","8726","1452","1684","725","242","221","160334","5120","5377","1225","51939","3140","87116","3900","14150","1928","1752","569","48758","3375","1398","737","10291","1819","22884","2441","12254","1616","1931","621","43290","3094","197","182","5976","1256","21882","2416","9268","1261","5967","1222"
"0500000US12105","Polk County, Florida","238629","5267","11959","1707","97201","5128","89870","4644","27246","2733","12353","2074","64481","4513","7922","1351","45184","3655","8488","1886","2313","1098","574","548","90588","4329","2181","787","33668","3022","45876","3492","7092","1526","1771","626","35236","3178","1153","603","9646","2133","13402","1973","8948","1354","2087","745","48324","3746","703","463","8703","2070","22104","2351","8893","1790","7921","1907"
"0500000US12107","Putnam County, Florida","30866","1415","1868","961","10229","1396","11064","1368","5186","1021","2519","872","8729","1587","1648","919","4857","1174","1959","643","214","244","51","90","10319","1438","167","191","3048","907","4655","985","1779","698","670","419","5051","1296","53","77","978","546","2133","872","1178","495","709","411","6767","1269","0","234","1346","618","2317","893","2015","758","1089","736"
"0500000US12109","St. Johns County, Florida","94761","2990","2031","673","29236","3030","42700","3349","15050","1986","5744","1278","20337","2364","1082","532","16462","2335","2283","869","510","303","0","234","35335","2474","481","299","8330","1589","21637","2226","4219","989","668","458","17375","2075","289","342","3464","1814","6788","1500","5000","1292","1834","808","21714","2478","179","218","980","697","11992","1871","5321","1329","3242","961"
"0500000US12111","St. Lucie County, Florida","116900","4160","5349","1588","47119","3781","46594","3653","13605","2190","4233","1274","31961","2977","3745","1439","22845","2511","4655","1660","652","616","64","114","46431","3668","981","584","17778","2929","24295","3130","2822","941","555","612","17234","2376","557","547","4239","1288","7611","1607","3682","1226","1145","830","21274","2802","66","111","2257","959","10033","2492","6449","1647","2469","852"
"0500000US12113","Santa Rosa County, Florida","66187","2766","2557","1145","18631","2254","28778","2639","11857","2030","4364","1117","16886","2108","1769","986","10337","1807","4043","1278","668","485","69","119","23717","2266","716","594","5703","1350","12708","1860","3461","971","1129","616","9642","1705","72","127","1327","657","4591","1283","2950","959","702","336","15942","1751","0","234","1264","784","7436","1339","4778","1344","2464","849"
"0500000US12115","Sarasota County, Florida","187411","4122","9014","1696","79927","3694","72877","3804","19489","2389","6104","1284","59108","3419","6300","1354","46185","3141","5416","1165","802","569","405","398","89649","4026","1876","770","27670","2697","50951","2984","7702","1761","1450","710","18223","2575","366","445","3257","1088","8690","1968","4875","1085","1035","577","20431","2308","472","399","2815","1269","7820","1506","6110","1422","3214","949"
"0500000US12117","Seminole County, Florida","181142","2623","8235","1462","59484","3598","76287","4256","27467","2795","9669","1562","43599","3347","4565","1208","33688","3340","4196","1104","1109","729","41","70","64009","3730","2154","874","13955","2097","38724","2931","7792","1511","1384","679","31184","3705","598","446","6297","1637","13466","1965","8758","1707","2065","801","42350","3022","918","540","5544","1548","19901","2740","9808","1781","6179","1184"
