Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
5/1/2021,29109,17,Lawrence ,MO,18.6,7129,7129,22.3,7111,24.8,3627,51.3,90.7,8993,23.4,8993,28.1,8939,31.2,4151,58.7,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
5/1/2021,18017,17,Cass ,IN,23.4,8821,8821,27.5,8816,30.3,4289,62.3,98.5,10763,28.6,10762,33.5,10614,36.5,4568,66.3,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
5/1/2021,47031,17,Coffee ,TN,21.1,11948,11948,25.1,11925,27.8,6234,63.4,98.1,15484,27.4,15480,32.5,15415,35.9,7259,73.8,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,54035,17,Jackson ,WV,10.8,3099,3097,12.5,3089,13.7,1487,24.9,53.5,3843,13.4,3840,15.5,3776,16.8,1654,27.7,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
5/1/2021,51510,17,Alexandria city,VA,16.5,26384,26382,19.1,26229,20.1,6318,32.6,50,37855,23.7,37852,27.4,37284,28.5,7158,36.9,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
5/1/2021,51019,17,Bedford ,VA,12.7,10053,10053,14.5,10034,15.8,5146,29.8,50,13353,16.9,13352,19.3,13288,20.9,6097,35.3,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI
5/1/2021,UNK,17,Unknown ,MP,0,18268,18268,0,17999,0,2281,0,0,22202,0,22202,0,21673,0,2440,0,,,,,
5/1/2021,37115,17,Madison ,NC,30.2,6572,6572,34,6557,36.6,3295,65.5,96.4,7748,35.6,7748,40.1,7712,43,3608,71.7,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,18135,17,Randolph ,IN,27.3,6736,6736,31.9,6715,35.1,3557,69.3,98.5,7633,30.9,7632,36.2,7578,39.7,3724,72.5,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,21155,17,Marion ,KY,28.6,5519,5519,34.1,5509,37.6,2234,68.4,93.4,6611,34.3,6611,40.8,6574,44.9,2542,77.9,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
5/1/2021,13007,17,Baker ,GA,17.7,538,538,20.3,537,21.9,260,36.2,48.6,659,21.7,659,24.9,654,26.7,281,39.1,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
5/1/2021,6031,17,Kings ,CA,18.3,27941,27941,22.4,27755,24.9,7608,47.5,96.9,40342,26.4,40335,32.3,39730,35.6,9445,58.9,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
5/1/2021,16017,17,Bonner ,ID,27.1,12391,12391,31,12390,33.7,6720,57.9,98,14328,31.3,14328,35.8,14327,39,7276,62.6,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,13077,17,Coweta ,GA,12.4,18346,18345,14.6,18243,16.2,7983,37.7,48.6,24878,16.8,24875,19.8,24609,21.8,9502,44.8,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
5/1/2021,36015,17,Chemung ,NY,34.6,28909,28907,40.2,28705,43.6,10974,67.4,97.2,33638,40.3,33635,46.8,33198,50.5,12067,74.1,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,48321,17,Matagorda ,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
5/1/2021,19159,17,Ringgold ,IA,33.9,1660,1660,39.5,1659,43.9,896,73.8,97.4,1961,40.1,1961,46.6,1957,51.8,950,78.3,Low,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
5/1/2021,38079,17,Rolette ,ND,41.6,5900,5900,53.9,5676,60.4,1342,77.6,95.7,6507,45.9,6506,59.4,6262,66.6,1549,89.5,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
5/1/2021,47097,17,Lauderdale ,TN,17.7,4542,4542,20.6,4529,22.7,2218,53.1,98.1,5709,22.3,5709,25.9,5689,28.5,2510,60,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
5/1/2021,72049,17,Culebra Municipio,PR,51.8,888,888,58.1,888,63.1,146,50.2,96,1413,82.4,1412,92.3,1412,99.9,323,99.9,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,Mod-High VC/Low SVI
5/1/2021,1053,17,Escambia ,AL,16.3,5955,5955,19.1,5950,20.9,3430,51.3,92.1,8438,23,8438,27,8426,29.7,4628,69.2,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
5/1/2021,1033,17,Colbert ,AL,25.1,13865,13865,29.1,13839,31.7,6588,59.5,92.1,18510,33.5,18509,38.9,18441,42.2,8130,73.5,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,8041,17,El Paso ,CO,21.7,155973,155969,25.7,154784,28.2,42948,45.1,66.3,200150,27.8,,0,,0,,0,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
5/1/2021,39005,17,Ashland ,OH,21.4,11429,11429,25,11401,27.4,5894,57.5,97.5,14020,26.2,14020,30.6,13934,33.5,6340,61.9,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,13087,17,Decatur ,GA,18.7,4941,4940,22.3,4925,24.6,2532,57.6,48.6,6111,23.1,6108,27.6,6080,30.4,2789,63.4,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Mod-High VC/High SVI
5/1/2021,35055,17,Taos ,NM,34.3,11208,11208,38.5,11126,41.1,4849,53.8,76.1,12745,38.9,,0,,0,,0,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI
5/1/2021,49049,17,Utah ,UT,20.5,130236,130229,26.2,127998,30,31107,61.6,96.1,206573,32.5,206543,41.6,201460,47.2,41224,81.6,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
5/1/2021,8121,17,Washington ,CO,11.1,544,544,13,544,14.3,231,22,66.3,564,11.5,,0,,0,,0,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
