County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Washington ,GA,7503,656,2239,2773,1295,540
Wayne ,GA,10400,722,3439,4154,1573,512
Webster ,GA,1140,73,406,322,268,71
Wheeler ,GA,1862,226,792,539,231,74
White ,GA,11695,257,3472,4627,2003,1336
Whitfield ,GA,35629,2001,10511,13836,5913,3368
Wilcox ,GA,2575,128,955,911,377,204
Wilkes ,GA,3979,473,1310,1084,693,419
Wilkinson ,GA,3185,249,1082,1068,555,231
Worth ,GA,8002,596,2238,3101,1294,773
Hawaii ,HI,69453,3457,22834,26366,11072,5724
Honolulu ,HI,312795,30214,105967,109909,39460,27245
Kalawao ,HI,39,4,24,7,0,4
Kauai ,HI,22658,900,6098,8296,4468,2896
Maui ,HI,54479,2553,17065,20378,9085,5398
Ada ,ID,173353,6444,56287,68922,28786,12914
Adams ,ID,1757,33,435,614,405,270
Bannock ,ID,31155,1811,8618,11550,5889,3287
Bear Lake ,ID,2424,101,521,805,459,538
Benewah ,ID,3418,123,908,1263,728,396
Bingham ,ID,14989,248,3425,5396,3624,2296
Blaine ,ID,7995,196,2461,3491,1349,498
Boise ,ID,3205,47,599,1336,836,387
Bonner ,ID,17537,796,4348,6638,3728,2027
Bonneville ,ID,39768,1886,9765,15715,7447,4955
Boundary ,ID,4653,208,1104,1683,1017,641
Butte ,ID,967,37,216,341,203,170
Camas ,ID,394,4,119,118,108,45
Canyon ,ID,72807,2773,18680,27632,14505,9217
Caribou ,ID,2538,107,528,840,652,411
Cassia ,ID,7711,197,1495,3000,2005,1014
Clark ,ID,290,4,81,92,65,48
Clearwater ,ID,3555,146,887,1360,797,365
Custer ,ID,1774,34,370,528,488,354
Elmore ,ID,10606,488,2862,4316,1815,1125
Franklin ,ID,4397,102,736,1528,1039,992
Fremont ,ID,4347,66,798,1566,1019,898
Gem ,ID,6683,378,1861,1971,1393,1080
Gooding ,ID,5469,236,1158,2098,1176,801
Idaho ,ID,6407,173,1424,2427,1582,801
Jefferson ,ID,8791,110,1266,3582,2171,1662
Jerome ,ID,8022,247,2035,2940,1710,1090
Kootenai ,ID,62304,2233,16719,24701,11771,6880
Latah ,ID,15422,807,4714,6052,2480,1369
Lemhi ,ID,3582,148,809,1272,733,620
Lewis ,ID,1646,85,451,615,323,172
Lincoln ,ID,1724,20,492,504,403,305
Madison ,ID,11016,451,3679,3900,1909,1077
Minidoka ,ID,7250,149,1594,2747,1716,1044
Nez Perce ,ID,16384,987,4058,6058,3036,2245
Oneida ,ID,1615,29,261,538,467,320
Owyhee ,ID,4321,163,1023,1266,935,934
Payette ,ID,8876,289,2330,2840,2095,1322
Power ,ID,2633,43,622,1015,597,356
Shoshone ,ID,5466,332,1613,2205,842,474
Teton ,ID,3707,44,737,1677,669,580
Twin Falls ,ID,31146,1166,8399,13008,5607,2966
Valley ,ID,3869,176,900,1560,565,668
Washington ,ID,4035,256,1130,1373,805,471
Adams ,IL,27112,2010,8726,10603,4127,1646
Alexander ,IL,2154,166,895,713,296,84
Bond ,IL,6299,379,1701,2089,1429,701
Boone ,IL,18571,805,4643,7500,3794,1829
Brown ,IL,2055,100,600,852,330,173
Bureau ,IL,13698,729,4159,5562,2236,1012
Calhoun ,IL,1664,77,480,585,407,115
Carroll ,IL,6508,374,2072,2511,1006,545
Cass ,IL,5043,297,1666,1945,843,292
Champaign ,IL,82369,9097,32842,28632,8278,3520
Christian ,IL,13901,720,4436,5575,2117,1053
Clark ,IL,6720,228,1915,2877,1180,520
Clay ,IL,5696,195,1987,2036,1037,441
Clinton ,IL,14353,655,3580,6008,2952,1158
Coles ,IL,20926,1809,7364,7878,2894,981
Cook ,IL,1972108,351428,798186,588020,168193,66281
Crawford ,IL,7666,454,2221,2902,1309,780
Cumberland ,IL,4299,144,1177,1540,1016,422
DeKalb ,IL,38150,2279,12286,14908,6299,2378
De Witt ,IL,6694,263,2098,2807,1102,424
Douglas ,IL,7613,877,1943,2981,1276,536
DuPage ,IL,342791,14175,104895,153560,50290,19871
Edgar ,IL,7542,554,2293,3007,1196,492
Edwards ,IL,2773,152,813,1031,503,274
Effingham ,IL,13877,796,3857,5396,2577,1251
Fayette ,IL,7737,318,2282,3148,1277,712
Ford ,IL,5771,403,1675,2165,1009,519
Franklin ,IL,16235,1363,5419,5838,2552,1063
Fulton ,IL,13940,824,4121,5328,2537,1130
Gallatin ,IL,2293,169,821,673,367,263
Greene ,IL,4949,198,1644,1728,876,503
Grundy ,IL,19676,728,5085,8351,3689,1823
Hamilton ,IL,3400,114,784,1529,591,382
Hancock ,IL,7409,331,1974,2877,1472,755
Hardin ,IL,1363,89,364,548,259,103
Henderson ,IL,2977,86,708,1304,591,288
Henry ,IL,19856,1023,5647,7778,3506,1902
Iroquois ,IL,11741,539,3768,4563,2006,865
Jackson ,IL,23883,2836,9404,7545,2834,1264
Jasper ,IL,3711,198,936,1315,785,477
Jefferson ,IL,14985,1197,4878,5576,2313,1021
Jersey ,IL,8499,323,2323,3383,1682,788
Jo Daviess ,IL,9970,425,3299,4091,1575,580
Johnson ,IL,4303,188,1144,1864,805,302
Kane ,IL,179637,8123,47699,77698,31837,14280
Kankakee ,IL,39796,3229,12540,16303,5094,2630
Kendall ,IL,40721,755,9071,19139,8046,3710
Knox ,IL,20680,2028,7489,7466,2536,1161
Lake ,IL,246122,12425,67000,109395,41048,16254
LaSalle ,IL,45095,2819,15121,17448,6740,2967
Lawrence ,IL,6306,342,2116,2135,1184,529
Lee ,IL,13788,897,4406,5368,2233,884
Livingston ,IL,14307,1072,4335,5551,2493,856
Logan ,IL,10797,709,3270,4417,1627,774
McDonough ,IL,11408,1158,3811,4414,1431,594
McHenry ,IL,112453,4394,26642,50232,21528,9657
McLean ,IL,65845,4065,21989,27436,8516,3839
Macon ,IL,43912,4028,16386,16031,5425,2042
Macoupin ,IL,18875,773,5705,7478,3368,1551
Madison ,IL,107659,6856,34833,42784,16287,6899
Marion ,IL,15946,1158,5407,5939,2319,1123
Marshall ,IL,4884,167,1559,1935,778,445
Mason ,IL,5977,261,1663,2551,1030,472
Massac ,IL,5822,433,1847,2400,817,325
Menard ,IL,5188,247,1264,2025,1197,455
Mercer ,IL,6516,383,1727,2515,1201,690
Monroe ,IL,13586,537,3030,5386,3294,1339
Montgomery ,IL,11522,723,3325,4604,1992,878
Morgan ,IL,13719,1077,4842,5147,2012,641
Moultrie ,IL,5959,684,1489,2442,888,456
Ogle ,IL,21021,1047,6115,8633,3697,1529
Peoria ,IL,73253,7793,27511,25777,8713,3459
Perry ,IL,8433,538,2540,3183,1591,581
Piatt ,IL,6692,163,1720,2872,1438,499
Pike ,IL,6309,421,1944,2171,1246,527
Pope ,IL,1694,124,588,528,325,129
Pulaski ,IL,2095,263,749,706,278,99
Putnam ,IL,2413,65,749,1030,328,241
Randolph ,IL,11883,725,3484,4363,2484,827
Richland ,IL,6452,460,2004,2426,1079,483
Rock Island ,IL,60546,5262,20961,24000,7438,2885
St. Clair ,IL,104105,9808,36977,37142,14068,6110
Saline ,IL,9972,871,3153,3604,1664,680
Sangamon ,IL,83711,6608,31679,30580,10690,4154
Schuyler ,IL,2775,85,852,1038,601,199
Scott ,IL,1939,83,537,731,343,245
Shelby ,IL,9189,328,2399,3865,1803,794
Stark ,IL,2315,92,718,926,362,217
Stephenson ,IL,19739,1775,6886,6965,2763,1350
Tazewell ,IL,54291,3061,16598,23207,7955,3470
Union ,IL,6654,402,1817,2791,1111,533
Vermilion ,IL,31151,3080,11203,11098,4095,1675
Wabash ,IL,4839,391,1434,1885,792,337
Warren ,IL,6862,375,2304,2800,852,531
Washington ,IL,6020,220,1554,2569,1189,488
Wayne ,IL,7051,535,2047,2688,1215,566
White ,IL,6041,471,1663,2452,1097,358
Whiteside ,IL,23084,1251,7988,8636,3424,1785
Will ,IL,229498,8483,57750,100163,43730,19372
Williamson ,IL,27029,1965,8877,10736,3940,1511
Winnebago ,IL,114779,9619,39592,43653,15600,6315
Woodford ,IL,14499,619,3444,6246,2695,1495
Adams ,IN,12481,1324,3564,4244,2256,1093
Allen ,IN,145065,8480,50204,57023,19953,9405
Bartholomew ,IN,31452,1280,9777,11846,5681,2868
Benton ,IN,3432,95,1091,1288,655,303
Blackford ,IN,5235,381,1684,1940,767,463
Boone ,IN,25485,936,6254,11459,4687,2149
Brown ,IN,6189,185,1625,2062,1486,831
Carroll ,IN,8002,308,1985,3031,1731,947
Cass ,IN,14688,1015,4569,5723,2420,961
Clark ,IN,44200,2220,13867,18315,6395,3403
Clay ,IN,10543,332,3174,3843,1724,1470
Clinton ,IN,12033,765,3365,4589,2035,1279
Crawford ,IN,3835,163,956,1303,996,417
Daviess ,IN,11227,1963,2801,3332,1764,1367
Dearborn ,IN,18870,797,4090,6810,4122,3051
Decatur ,IN,10353,492,2637,4004,2284,936
DeKalb ,IN,16801,807,4852,6392,3177,1573
Delaware ,IN,46026,3645,16068,16532,7013,2768
Dubois ,IN,16893,664,4120,6369,4219,1521
Elkhart ,IN,71718,6020,21249,28371,10889,5189
Fayette ,IN,9584,619,3046,3493,1564,862
Floyd ,IN,29189,1580,8846,11066,4965,2732
Fountain ,IN,6974,355,1969,2688,1336,626
Franklin ,IN,8687,396,1654,3260,2040,1337
Fulton ,IN,7799,397,2299,2944,1448,711
Gibson ,IN,13340,682,3430,4876,2784,1568
Grant ,IN,26372,1960,8378,9827,4573,1634
Greene ,IN,12781,585,3209,4611,2571,1805
Hamilton ,IN,119789,2799,29787,60866,18764,7573
Hancock ,IN,28740,841,7338,12294,5073,3194
Harrison ,IN,14403,616,3315,5273,3427,1772
Hendricks ,IN,59015,1257,14855,25676,11721,5506
Henry ,IN,18304,773,5757,7111,3274,1389
Howard ,IN,34701,2439,12148,12796,4917,2401
Huntington ,IN,14742,695,4260,6122,2498,1167
Jackson ,IN,16753,955,4829,6232,2876,1861
Jasper ,IN,12533,441,3138,5135,2389,1430
Jay ,IN,8174,801,2151,2773,1565,884
Jefferson ,IN,12632,604,3824,4672,2214,1318
Jennings ,IN,10792,466,2583,3681,2489,1573
Johnson ,IN,56628,1538,15644,24684,10001,4761
Knox ,IN,15038,1147,4758,5330,2540,1263
Kosciusko ,IN,30997,1877,8320,12675,5596,2529
LaGrange ,IN,12325,3629,2399,3564,1697,1036
Lake ,IN,186731,15870,66466,67349,25445,11601
LaPorte ,IN,43039,3441,12890,16365,6526,3817
Lawrence ,IN,18781,908,5294,6691,4041,1847
Madison ,IN,51003,3565,17029,19261,7469,3679
Marion ,IN,372358,33858,151121,130264,41286,15829
Marshall ,IN,17304,1087,5101,6261,3102,1753
Martin ,IN,4187,117,1113,1652,792,513
Miami ,IN,13611,615,4267,5045,2540,1144
Monroe ,IN,55624,4432,20244,20088,7500,3360
Montgomery ,IN,15382,668,4603,6125,2447,1539
Morgan ,IN,26034,1006,6616,9928,5249,3235
Newton ,IN,5573,211,1640,2022,1177,523
Noble ,IN,18276,1083,4905,6655,3901,1732
Ohio ,IN,2555,104,634,898,680,239
Orange ,IN,7898,553,2303,2719,1386,937
Owen ,IN,8776,238,2289,3082,2076,1091
Parke ,IN,6057,490,1540,2324,1180,523
Perry ,IN,7615,349,1856,2872,1576,962
Pike ,IN,5129,189,1311,1741,1146,742
Porter ,IN,64517,2567,19482,26974,10574,4920
Posey ,IN,10155,415,2537,4282,1860,1061
Pulaski ,IN,5151,199,1552,2105,831,464
Putnam ,IN,13543,701,3850,4166,3147,1679
Randolph ,IN,10229,358,3331,3794,1891,855
Ripley ,IN,10992,623,2713,3969,2295,1392
Rush ,IN,6667,226,2008,2590,1254,589
St. Joseph ,IN,101872,7491,36088,39351,13364,5578
Scott ,IN,8971,610,2556,3555,1466,784
Shelby ,IN,17823,731,5048,6872,3343,1829
Spencer ,IN,8127,321,1888,2878,1891,1149
Starke ,IN,8549,386,2250,3382,1741,790
Steuben ,IN,14261,623,3788,5914,2557,1379
Sullivan ,IN,7644,444,1950,2843,1676,731
Switzerland ,IN,4349,191,1113,1842,706,497
Tippecanoe ,IN,70526,5384,25637,26434,9179,3892
Tipton ,IN,6376,185,1844,2546,1139,662
Union ,IN,2823,146,757,1043,610,267
Vanderburgh ,IN,75607,6140,27950,26896,10538,4083
Vermillion ,IN,6664,290,2057,2772,1028,517
Vigo ,IN,41994,3508,15153,14851,5807,2675
Wabash ,IN,12862,658,4001,4995,2184,1024
Warren ,IN,3357,82,795,1367,707,406
Warrick ,IN,24514,731,5876,10344,5226,2337
Washington ,IN,10940,702,2800,3947,2151,1340
Wayne ,IN,26644,2114,9342,9636,3692,1860
Wells ,IN,10888,485,2849,4236,2074,1244
White ,IN,9879,286,2982,4165,1577,869
Whitley ,IN,13742,428,3988,5110,3045,1171
Adair ,IA,3200,138,829,1126,589,518
Adams ,IA,1598,56,340,594,373,235
Allamakee ,IA,5953,263,1655,2135,1233,667
Appanoose ,IA,5353,345,1735,1891,774,608
Audubon ,IA,2649,105,745,905,631,263
Benton ,IA,10306,408,1983,3975,2410,1530
Black Hawk ,IA,52905,4110,16682,20244,7945,3924
Boone ,IA,10954,361,2851,3953,2162,1627
Bremer ,IA,9676,240,2265,3902,2217,1052
Buchanan ,IA,8029,410,1755,2964,1888,1012
Buena Vista ,IA,7524,337,1986,2946,1441,814
Butler ,IA,6254,192,1457,2362,1364,879
Calhoun ,IA,4146,177,1150,1443,773,603
Carroll ,IA,8726,479,2474,3529,1577,667
Cass ,IA,5921,415,1749,2246,889,622
Cedar ,IA,7391,218,1713,2977,1515,968
Cerro Gordo ,IA,19241,1425,6603,6876,3028,1309
Cherokee ,IA,5319,373,1380,2018,1031,517
Chickasaw ,IA,5173,208,1260,1808,1054,843
Clarke ,IA,3895,214,1159,1385,567,570
Clay ,IA,7212,466,2079,3039,1080,548
Clayton ,IA,7510,403,2119,2736,1426,826
Clinton ,IA,19635,1520,5845,7320,3447,1503
Crawford ,IA,6437,496,1477,2473,1329,662
Dallas ,IA,34399,1194,8835,15792,5401,3177
Davis ,IA,3176,400,711,1098,618,349
Decatur ,IA,3200,313,873,1107,526,381
Delaware ,IA,6907,235,1437,2577,1791,867
Des Moines ,IA,16891,1432,5510,6334,2328,1287
Dickinson ,IA,8174,395,2357,3523,1275,624
Dubuque ,IA,38210,2263,12120,15424,6010,2393
Emmet ,IA,4036,139,1006,1614,817,460
Fayette ,IA,8200,422,2163,2916,1681,1018
Floyd ,IA,6903,519,2045,2367,1365,607
Franklin ,IA,4192,110,1098,1805,709,470
Fremont ,IA,2945,113,601,1094,689,448
Greene ,IA,3971,219,1062,1324,847,519
Grundy ,IA,5155,167,1356,1880,1175,577
Guthrie ,IA,4452,157,979,1770,959,587
Hamilton ,IA,6259,292,1612,2673,1085,597
Hancock ,IA,4790,206,1061,1896,1008,619
Hardin ,IA,7148,379,2115,2800,1280,574
Harrison ,IA,6019,313,1454,2131,1314,807
Henry ,IA,7743,309,2023,3127,1536,748
Howard ,IA,3810,208,924,1275,823,580
Humboldt ,IA,4174,254,1150,1618,660,492
Ida ,IA,3011,161,725,1186,606,333
Iowa ,IA,6780,217,1595,2686,1555,727
Jackson ,IA,8239,479,2026,3108,1656,970
Jasper ,IA,14574,771,3757,5395,2967,1684
Jefferson ,IA,6754,513,2317,2190,1112,622
Johnson ,IA,59134,4349,20627,22523,8407,3228
Jones ,IA,8130,443,1996,3068,1597,1026
Keokuk ,IA,4394,121,1157,1596,987,533
Kossuth ,IA,6646,336,1827,2499,1448,536
Lee ,IA,14233,951,4221,5029,2627,1405
Linn ,IA,90877,4476,29662,35682,14454,6603
Louisa ,IA,4335,277,981,1589,843,645
Lucas ,IA,3701,260,866,1396,812,367
Lyon ,IA,4548,90,813,1898,1047,700
Madison ,IA,6462,287,1410,2241,1420,1104
Mahaska ,IA,8927,601,2287,3519,1294,1226
Marion ,IA,13365,758,3465,5316,2545,1281
Marshall ,IA,15419,1166,4448,5839,2512,1454
Mills ,IA,5554,217,1195,2107,1234,801
Mitchell ,IA,4355,243,1162,1498,1037,415
Monona ,IA,4000,164,1119,1462,772,483
Monroe ,IA,3294,243,751,1161,592,547
Montgomery ,IA,4554,221,1229,1799,781,524
Muscatine ,IA,16660,975,4685,6367,2930,1703
O'Brien ,IA,6169,652,1521,2370,997,629
Osceola ,IA,2633,143,723,792,609,366
Page ,IA,6280,383,1888,2377,1084,548
Palo Alto ,IA,3702,155,1095,1528,637,287
Plymouth ,IA,10250,448,2371,4322,1874,1235
Pocahontas ,IA,3215,175,785,1137,715,403
Polk ,IA,187798,11124,59415,76824,29105,11330
Pottawattamie ,IA,36799,2333,11328,13780,6369,2989
Poweshiek ,IA,7767,394,2316,2821,1562,674
Ringgold ,IA,1971,66,510,652,387,356
Sac ,IA,4313,128,1059,1709,903,514
Scott ,IA,67021,4400,22156,26726,9584,4155
Shelby ,IA,5030,254,1373,1905,854,644
Sioux ,IA,12248,500,2728,5503,2174,1343
Story ,IA,37811,2291,12585,14226,5922,2787
Tama ,IA,6767,252,1662,2574,1323,956
Taylor ,IA,2616,120,642,928,541,385
Union ,IA,5176,342,1590,1632,874,738
Van Buren ,IA,2894,200,698,1069,571,356
Wapello ,IA,14481,1147,4304,5255,2434,1341
Warren ,IA,19258,646,4576,7552,4107,2377
Washington ,IA,8832,406,2256,3526,1703,941
Wayne ,IA,2689,253,637,866,587,346
Webster ,IA,15306,1211,4950,5582,2394,1169
Winnebago ,IA,4577,181,1705,1528,756,407
Winneshiek ,IA,8257,280,2187,3194,1638,958
Woodbury ,IA,39016,3060,11496,14734,6153,3573
Worth ,IA,3172,160,771,1062,649,530
Wright ,IA,5718,453,1715,2294,880,376
Allen ,KS,5372,290,1810,1787,979,506
Anderson ,KS,3101,149,817,893,687,555
Atchison ,KS,5958,481,1690,2062,987,738
Barber ,KS,1923,169,510,645,422,177
Barton ,KS,10624,671,3395,3931,1867,760
Bourbon ,KS,5636,294,1590,1909,1127,716
Brown ,KS,3872,177,1199,1322,789,385
Butler ,KS,24870,1255,5552,9325,5662,3076
Chase ,KS,1051,73,262,340,187,189
Chautauqua ,KS,1456,110,409,446,277,214
Cherokee ,KS,7929,649,2147,3046,1329,758
Cheyenne ,KS,1221,53,334,454,223,157
Clark ,KS,873,30,210,356,145,132
Clay ,KS,3514,148,999,1273,782,312
Cloud ,KS,3689,202,1082,1267,763,375
Coffey ,KS,3585,178,703,1222,861,621
Comanche ,KS,751,5,260,230,154,102
Cowley ,KS,13499,758,4032,4733,2511,1465
Crawford ,KS,15284,1382,4755,5295,2612,1240
Decatur ,KS,1442,61,365,542,253,221
Dickinson ,KS,7911,374,2218,2933,1408,978
Doniphan ,KS,3046,144,945,1176,475,306
Douglas ,KS,46936,2474,15564,18186,7757,2955
Edwards ,KS,1308,28,326,556,245,153
Elk ,KS,1128,88,370,362,162,146
Ellis ,KS,11544,574,3648,4319,1999,1004
Ellsworth ,KS,2388,117,687,850,466,268
Finney ,KS,12519,547,3468,4297,2981,1226
Ford ,KS,11344,535,3266,4516,1809,1218
Franklin ,KS,10118,428,2586,3620,2027,1457
Geary ,KS,12684,490,3909,6521,1388,376
Gove ,KS,1217,7,339,387,279,205
Graham ,KS,1196,52,273,471,225,175
Grant ,KS,2551,44,788,788,630,301
Gray ,KS,2151,25,504,933,421,268
Greeley ,KS,519,11,167,216,88,37
Greenwood ,KS,2769,135,729,996,515,394
Hamilton ,KS,890,28,291,311,150,110
Harper ,KS,2265,64,686,869,366,280
Harvey ,KS,13290,865,3412,5073,2668,1272
Haskell ,KS,1320,24,326,545,249,176
Hodgeman ,KS,767,9,109,301,181,167
Jackson ,KS,5465,212,1223,1891,1415,724
Jefferson ,KS,7575,221,1191,2851,1803,1509
Jewell ,KS,1380,69,328,525,311,147
Johnson ,KS,228592,7506,65521,104682,36257,14626
Kearny ,KS,1201,19,342,456,272,112
Kingman ,KS,3133,91,915,1135,532,460
Kiowa ,KS,985,47,256,345,214,123
Labette ,KS,8176,479,2424,2741,1579,953
Lane ,KS,757,23,185,323,112,114
Leavenworth ,KS,27253,1189,7440,10321,5366,2937
Lincoln ,KS,1248,46,294,410,309,189
Linn ,KS,4497,163,1133,1395,1123,683
Logan ,KS,1153,31,275,493,176,178
Lyon ,KS,13569,823,3743,5543,2102,1358
McPherson ,KS,12334,549,3331,4835,2303,1316
Marion ,KS,4846,156,1201,1818,1064,607
Marshall ,KS,4085,136,1127,1360,904,558
Meade ,KS,1689,56,491,653,276,213
Miami ,KS,12835,423,2797,4619,3254,1742
Mitchell ,KS,2570,63,664,1065,444,334
Montgomery ,KS,13576,1190,4516,4577,2046,1247
Morris ,KS,2280,110,476,891,460,343
Morton ,KS,1038,48,284,388,210,108
Nemaha ,KS,4007,164,999,1364,902,578
Neosho ,KS,6601,413,2160,2299,1233,496
Ness ,KS,1269,20,291,512,271,175
Norton ,KS,1830,67,485,643,399,236
Osage ,KS,6607,222,1625,2510,1422,828
Osborne ,KS,1648,95,421,549,328,255
Ottawa ,KS,2446,52,602,820,496,476
Pawnee ,KS,2448,73,839,947,463,126
Phillips ,KS,2316,100,550,862,494,310
Pottawatomie ,KS,8698,215,1876,3491,1811,1305
Pratt ,KS,3652,124,1053,1384,613,478
Rawlins ,KS,1176,75,202,400,241,258
Reno ,KS,25014,1655,7813,9107,4268,2171
Republic ,KS,2218,116,619,788,446,249
Rice ,KS,3917,158,1116,1382,814,447
Riley ,KS,26490,1857,8376,10785,3384,2088
Rooks ,KS,2176,95,581,788,453,259
Rush ,KS,1421,32,496,428,221,244
Russell ,KS,3015,142,901,1110,553,309
Saline ,KS,21959,1833,6714,8278,3547,1587
Scott ,KS,1967,14,382,827,487,257
Sedgwick ,KS,197229,12490,64397,74163,30187,15992
Seward ,KS,7321,439,2147,2938,1206,591
Shawnee ,KS,72267,5645,24891,27313,9403,5015
Sheridan ,KS,1134,46,239,353,307,189
Sherman ,KS,2544,71,712,1019,486,256
Smith ,KS,1701,57,430,526,375,313
Stafford ,KS,1771,49,414,686,407,215
Stanton ,KS,733,26,172,369,107,59
Stevens ,KS,1814,85,504,711,322,192
Sumner ,KS,9416,376,2406,3084,2111,1439
Thomas ,KS,3375,112,746,1528,702,287
Trego ,KS,1379,10,381,523,304,161
Wabaunsee ,KS,2744,70,475,1082,674,443
Wallace ,KS,636,21,86,236,158,135
Washington ,KS,2332,85,615,892,459,281
Wichita ,KS,934,48,145,417,206,118
Wilson ,KS,3712,212,1122,1236,700,442
Woodson ,KS,1434,87,429,502,245,171
Wyandotte ,KS,60128,5545,20601,20726,8956,4300
Adair ,KY,6977,517,2003,2300,1508,649
Allen ,KY,7605,444,2146,2694,1502,819
Anderson ,KY,8694,344,2560,3457,1573,760
Ballard ,KY,3065,252,816,1126,555,316
Barren ,KY,16931,949,5193,6363,3188,1238
Bath ,KY,4827,396,1143,1606,1093,589
Bell ,KY,10624,1203,4025,3372,1434,590
Boone ,KY,46997,1506,13144,19686,8509,4152
Bourbon ,KY,8106,454,2427,3084,1493,648
Boyd ,KY,18210,1552,5702,6888,2923,1145
Boyle ,KY,11023,729,3806,4106,1679,703
Bracken ,KY,3318,182,780,1264,642,450
Breathitt ,KY,5358,828,1923,1584,734,289
Breckinridge ,KY,7598,475,1996,2609,1571,947
Bullitt ,KY,29690,930,7416,11866,6193,3285
Butler ,KY,4958,310,1276,1540,1076,756
Caldwell ,KY,5163,450,1248,1934,1108,423
Calloway ,KY,14996,705,5477,5545,2006,1263
Campbell ,KY,36746,2729,12357,14173,4803,2684
Carlisle ,KY,1980,90,472,834,397,187
Carroll ,KY,4101,361,1290,1538,539,373
Carter ,KY,9606,593,2967,3110,2030,906
Casey ,KY,6099,374,2041,2200,970,514
Christian ,KY,25721,2175,8742,10242,3256,1306
Clark ,KY,14509,948,4560,5557,2301,1143
Clay ,KY,7622,1013,2606,2638,995,370
Clinton ,KY,3985,346,1284,1424,642,289
Crittenden ,KY,3567,274,970,1337,630,356
Cumberland ,KY,2616,247,782,963,491,133
Daviess ,KY,40179,2751,13108,15258,5976,3086
Edmonson ,KY,4885,166,1399,1879,908,533
Elliott ,KY,2523,142,731,1048,302,300
Estill ,KY,5499,424,1666,2067,937,405
Fayette ,KY,129784,10242,47660,51769,14829,5284
Fleming ,KY,5841,416,1626,2137,1180,482
Floyd ,KY,15000,1343,5504,4999,2228,926
Franklin ,KY,21076,1432,7849,8223,2515,1057
Fulton ,KY,2441,429,956,724,171,161
Gallatin ,KY,3105,180,921,1198,591,215
Garrard ,KY,6706,274,1587,2494,1436,915
Grant ,KY,9141,412,2962,3198,1655,914
Graves ,KY,14316,1135,4315,5179,2459,1228
Grayson ,KY,9758,595,2858,3449,1927,929
Green ,KY,4413,305,1203,1639,790,476
Greenup ,KY,14056,705,3701,5545,2607,1498
Hancock ,KY,3311,100,732,1250,721,508
Hardin ,KY,41646,2346,13233,15923,6748,3396
Harlan ,KY,11134,1340,4022,3601,1617,554
Harrison ,KY,7283,518,1952,2752,1342,719
Hart ,KY,7351,838,2238,2511,1194,570
Henderson ,KY,18643,1579,6233,6602,3053,1176
Henry ,KY,6044,206,1682,2023,1394,739
Hickman ,KY,1798,132,426,802,263,175
Hopkins ,KY,18588,1263,5880,6821,3179,1445
Jackson ,KY,5484,402,1698,1857,893,634
Jefferson ,KY,312679,29466,116341,116590,35841,14441
Jessamine ,KY,18821,812,5987,7333,3448,1241
Johnson ,KY,8488,1002,2527,3161,1259,539
Kenton ,KY,63966,4979,21096,25048,8889,3954
Knott ,KY,6388,759,2303,2241,798,287
Knox ,KY,11961,1377,4371,4334,1341,538
Larue ,KY,5741,208,1461,2088,1129,855
Laurel ,KY,22573,1672,7063,8814,3482,1542
Lawrence ,KY,5784,434,1899,1927,1038,486
Lee ,KY,2839,359,939,906,305,330
Leslie ,KY,4076,550,1132,1467,701,226
Letcher ,KY,9721,750,3358,3335,1641,637
Lewis ,KY,5268,465,1627,1785,969,422
Lincoln ,KY,9697,554,2861,3651,1690,941
Livingston ,KY,3857,144,983,1543,720,467
Logan ,KY,10418,843,2752,3902,1873,1048
Lyon ,KY,3333,51,1165,1405,493,219
McCracken ,KY,27854,2021,10212,10404,3610,1607
McCreary ,KY,6052,585,1874,2259,1081,253
McLean ,KY,3809,214,1021,1348,767,459
Madison ,KY,33359,1585,11319,13112,4933,2410
Magoffin ,KY,5020,451,1659,2016,657,237
Marion ,KY,7405,586,2430,2254,1589,546
Marshall ,KY,13121,628,3629,5619,2184,1061
Martin ,KY,4153,384,1215,1766,569,219
Mason ,KY,6700,656,1977,2381,1053,633
Meade ,KY,10685,354,2296,4672,2218,1145
Menifee ,KY,2651,192,780,1087,349,243
Mercer ,KY,8556,528,2372,3355,1591,710
Metcalfe ,KY,4074,116,1130,1255,1073,500
Monroe ,KY,4491,379,1400,1555,709,448
Montgomery ,KY,10481,599,3091,4419,1663,709
Morgan ,KY,4865,302,1675,1738,703,447
Muhlenberg ,KY,11351,632,3047,3985,2416,1271
Nelson ,KY,17853,984,4371,6858,3536,2104
Nicholas ,KY,2804,366,894,792,445,307
Ohio ,KY,9122,376,2398,3454,1717,1177
Oldham ,KY,20911,350,3932,9558,4705,2366
Owen ,KY,3995,111,1319,1218,862,485
Owsley ,KY,1704,171,635,466,259,173
Pendleton ,KY,5253,214,1389,1948,810,892
Perry ,KY,11226,1156,4072,3817,1444,737
Pike ,KY,25702,2130,9116,9058,3759,1639
Powell ,KY,4770,444,1526,1574,926,300
Pulaski ,KY,25301,1839,8905,8660,4046,1851
Robertson ,KY,861,40,282,267,147,125
Rockcastle ,KY,6544,612,2026,2276,1113,517
Rowan ,KY,8623,907,2733,2934,1320,729
Russell ,KY,6922,343,2083,2741,1253,502
Scott ,KY,20551,798,5420,8846,3699,1788
Shelby ,KY,16624,540,4298,6516,3538,1732
