County,State,Total Households,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 or more vehicles available
Carroll ,AR,11139,584,3315,3878,2305,1057
Chicot ,AR,4068,607,1379,1508,415,159
Clark ,AR,8446,614,2590,3157,1317,768
Clay ,AR,6444,580,2184,2378,808,494
Cleburne ,AR,10783,337,3374,4590,1763,719
Cleveland ,AR,3217,175,944,1029,717,352
Columbia ,AR,8562,475,3403,2959,1295,430
Conway ,AR,8309,481,2721,2997,1373,737
Craighead ,AR,41375,2863,14873,15895,5418,2326
Crawford ,AR,23958,1084,7540,9809,4048,1477
Crittenden ,AR,19074,1986,7539,6042,2362,1145
Cross ,AR,6653,411,2266,2394,1055,527
Dallas ,AR,2969,276,1166,929,294,304
Desha ,AR,5204,805,1631,1941,641,186
Drew ,AR,7157,492,2016,2771,1355,523
Faulkner ,AR,44575,2078,13453,18065,7837,3142
Franklin ,AR,6723,384,2261,2364,1107,607
Fulton ,AR,4973,227,1421,1716,972,637
Garland ,AR,40209,3056,14022,15058,5831,2242
Grant ,AR,6863,174,1984,2627,1236,842
Greene ,AR,17254,890,5292,6917,2884,1271
Hempstead ,AR,8094,468,2176,3366,1250,834
Hot Spring ,AR,12599,743,3838,4939,2068,1011
Howard ,AR,5142,330,1762,1739,821,490
Independence ,AR,14322,659,4191,5623,2487,1362
Izard ,AR,4851,332,1498,1507,824,690
Jackson ,AR,6137,324,2611,2212,720,270
Jefferson ,AR,26801,2648,9630,9417,3780,1326
Johnson ,AR,9682,563,2907,3887,1730,595
Lafayette ,AR,2784,276,940,942,418,208
Lawrence ,AR,6463,303,1869,2768,1023,500
Lee ,AR,3206,568,1064,932,481,161
Lincoln ,AR,3773,237,1245,1296,793,202
Little River ,AR,5363,417,1406,2084,1067,389
Logan ,AR,8417,352,2477,3070,1659,859
Lonoke ,AR,26895,1208,7751,11253,4574,2109
Madison ,AR,6279,360,1590,2232,1160,937
Marion ,AR,6782,439,1971,2848,1052,472
Miller ,AR,16426,1380,5530,6078,2528,910
Mississippi ,AR,16389,1681,6243,5478,2313,674
Monroe ,AR,3333,419,1411,1029,302,172
Montgomery ,AR,3754,166,1164,1530,616,278
Nevada ,AR,3397,170,1183,1230,536,278
Newton ,AR,2936,116,894,1021,571,334
Ouachita ,AR,9658,796,3724,3043,1355,740
Perry ,AR,3668,219,867,1442,663,477
