State,Airport Name,Loc ID,Associated City,County,Enplane- ments2,HUB3,"Ozone
(8-Hour)4",CO,PM10  ,PM2.5,Note5,VALE Eligible,,,,,,,,,,,,,,
IN,Purdue University,LAF,Lafayette,Stark,"2,504",None,,,,,,No,,,,,,,,,,,,,,
KS,Wichita Dwight D Eisenhower National,ICT,Wichita,Sedgwick,"773,550",S,,,,,,No,,,,,,,,,,,,,,
KS,Manhattan Regional,MHK,Manhattan,Riley,"66,263",N,,,,,,No,,,,,,,,,,,,,,
KS,Garden City Regional,GCK,Garden City,Finney,"27,152",N,,,,,,No,,,,,,,,,,,,,,
KS,Salina Regional,SLN,Salina,Saline,"10,079",N,,,,,A,No,,,,,,,,,,,,,,
KS,Hays Regional,HYS,Hays,Ellis,"8,470",None,,,,,,Yes,,,,,,,,,,,,,,
KS,Liberal Mid-America Regional,LBL,Liberal,Seward,"5,456",None,,,,,,No,,,,,,,,,,,,,,
KS,Topeka Regional,FOE,Topeka,Shawnee,"4,939",None,,,,,,No,,,,,,,,,,,,,,
KY,Cincinnati/Northern Kentucky International,CVG,Greater Cincinnati International Airport,Boone,"3,054,991",M,Marginal,,,Maintenance,,Yes,,,,,,,,,,,,,,
KY,Louisville International-Standiford Field,SDF,Louisville,Jefferson,"1,640,297",S,,,,Moderate,C,Yes,,,,,,,,,,,,,,
KY,Blue Grass,LEX,Lexington,Fayette,"606,980",S,,,,,,No,,,,,,,,,,,,,,
KY,Owensboro-Daviess County,OWB,Owensboro,Daviess,"21,951",N,,,,,,No,,,,,,,,,,,,,,
KY,Barkley Regional,PAH,Paducah,McCracken,"21,027",N,,,,,,No,,,,,,,,,,,,,,
LA,Louis Armstrong New Orleans International,MSY,Metairie,Jefferson,"5,329,711",M,,,,,,No,,,,,,,,,,,,,,
LA,"Baton Rouge Metropolitan, Ryan Field",BTR,Baton Rouge,East Baton Rouge,"366,102",N,Marginal,,,,,Yes,,,,,,,,,,,,,,
LA,Shreveport Regional,SHV,Shreveport,Caddo,"295,257",N,,,,,,No,,,,,,,,,,,,,,
LA,Lafayette Regional/Paul Fournet Field,LFT,Lafayette,Lafayette,"243,840",N,,,,,,No,,,,,,,,,,,,,,
LA,Alexandria International,AEX,Alexandria,Rapides,"159,252",N,,,,,,No,,,,,,,,,,,,,,
LA,Monroe Regional,MLU,Monroe,Ouachita,"114,170",N,,,,,,No,,,,,,,,,,,,,,
LA,Lake Charles Regional,LCH,Lake Charles,Calcasieu,"69,130",N,,,,,,No,,,,,,,,,,,,,,
MA,General Edward Lawrence Logan International,BOS,Boston,Suffolk,"16,290,362",L,,Maintenance,,,,Yes,,,,,,,,,,,,,,
MA,Nantucket Memorial,ACK,Nantucket,Nantucket,"155,952",N,,,,,,No,,,,,,,,,,,,,,
MA,Barnstable Municipal-Boardman/Polando Field,HYA,Hyannis,Barnstable,"65,790",N,,,,,,No,,,,,,,,,,,,,,
MA,Worcester Regional,ORH,Worcester,Worcester,"59,624",N,,Maintenance,,,,Yes,,,,,,,,,,,,,,
MA,Martha's Vineyard,MVY,Vineyard Haven,Dukes,"49,853",N,Marginal,,,,,Yes,,,,,,,,,,,,,,
MA,Provincetown Municipal,PVC,Provincetown,Barnstable,"10,841",N,,,,,,No,,,,,,,,,,,,,,
MA,New Bedford Regional,EWB,New Bedford,Bristol,"7,271",None,,,,,,No,,,,,,,,,,,,,,
MD,Baltimore/Washington International Thurgood Marshall,BWI,Glen Burnie,Anne Arundel,"11,738,845",L,Moderate,,,Maintenance,C,Yes,,,,,,,,,,,,,,
MD,Salisbury-Ocean City Wicomico Regional,SBY,Salisbury,Wicomico,"61,782",N,,,,,,No,,,,,,,,,,,,,,
MD,Hagerstown Regional-Richard A Henson Field,HGR,Hagerstown,Washington,"25,356",N,,,,Maintenance,,Yes,,,,,,,,,,,,,,
ME,Portland International Jetport,PWM,Portland,Cumberland,"858,449",S,,,,,,No,,,,,,,,,,,,,,
ME,Bangor International,BGR,Bangor,Penobscot,"273,829",N,,,,,C,No,,,,,,,,,,,,,,
ME,Knox County Regional,RKD,Rockland,Knox,"15,730",N,,,,,,No,,,,,,,,,,,,,,
ME,Northern Maine Regional Airport at Presque Isle,PQI,Presque Isle,Aroostook,"12,928",N,,,Maintenance,,,Yes,,,,,,,,,,,,,,
ME,Hancock County-Bar Harbor,BHB,Bar Harbor,Hancock,"9,579",None,,,,,,No,,,,,,,,,,,,,,
ME,Augusta State,AUG,Augusta,Kennebec,"5,120",None,,,,,,No,,,,,,,,,,,,,,
MI,Detroit Metropolitan Wayne County,DTW,Detroit,Wayne,"16,255,520",L,,,Maintenance,,C,Yes,,,,,,,,,,,,,,
MI,Gerald R Ford International,GRR,Grand Rapids,Kent,"1,280,803",S,,,,,,No,,,,,,,,,,,,,,
MI,Bishop International,FNT,Flint,Genesee,"411,763",S,,,,,,No,,,,,,,,,,,,,,
MI,Cherry Capital,TVC,Traverse City,Grand Traverse,"210,231",N,,,,,,No,,,,,,,,,,,,,,
MI,Capital Region International,LAN,Clinton (Township of),Clinton,"180,927",N,,,,,,No,,,,,,,,,,,,,,
MI,Kalamazoo/Battle Creek International,AZO,Kalamazoo,Kalamazoo,"122,081",N,,,,,,No,,,,,,,,,,,,,,
MI,MBS International,MBS,Saginaw,Saginaw,"119,004",N,,,,,,No,,,,,,,,,,,,,,
MI,Sawyer International,SAW,Gwinn,Marquette,"42,578",N,,,,,,No,,,,,,,,,,,,,,
MI,Houghton County Memorial,CMX,Hancock,Houghton,"25,732",N,,,,,,No,,,,,,,,,,,,,,
MI,Pellston Regional Airport of Emmet County,PLN,Pellston,Emmet,"25,197",N,,,,,,No,,,,,,,,,,,,,,
MI,Chippewa County International,CIU,Sault Ste. Marie,Chippewa,"22,687",N,,,,,,No,,,,,,,,,,,,,,
MI,Muskegon County,MKG,Muskegon,Muskegon,"17,087",N,,,,,,No,,,,,,,,,,,,,,
MI,Delta County,ESC,Escanaba,Delta,"16,665",N,,,,,,No,,,,,,,,,,,,,,
MI,Ford,IMT,Iron Mountain,Dickinson,"12,672",N,,,,,,No,,,,,,,,,,,,,,
MI,Alpena County Regional,APN,Alpena,Alpena,"10,409",N,,,,,,No,,,,,,,,,,,,,,
MI,Gogebic-Iron County,IWD,Ironwood,Gogebic,"4,697",None,,,,,,No,,,,,,,,,,,,,,
MI,Willow Run,YIP,Detroit,Wayne,"4,045",None,,,Maintenance,,C,Yes,,,,,,,,,,,,,,
MI,Oakland County International,PTK,Pontiac,Oakland,"3,100",None,,,,Maintenance,,Yes,,,,,,,,,,,,,,
MN,Minneapolis-St Paul International/Wold-Chamberlain,MSP,Minneapolis,Hennepin,"17,634,273",L,,Maintenance,,,C,Yes,,,,,,,,,,,,,,
MN,Duluth International,DLH,Duluth,St. Louis,"131,128",N,,Maintenance,,,,Yes,,,,,,,,,,,,,,
MN,Rochester International,RST,Rochester,Olmsted,"114,657",N,,Maintenance,,,,Yes,,,,,,,,,,,,,,
MN,Bemidji Regional,BJI,Bemidji,Beltrami,"24,765",N,,,,,,No,,,,,,,,,,,,,,
MN,St. Cloud Regional,STC,St. Cloud,Sherburne,"19,171",N,,,,,,No,,,,,,,,,,,,,,
MN,Brainerd Lakes Regional,BRD,Brainerd,Crow Wing,"18,200",N,,,,,,No,,,,,,,,,,,,,,
MN,Falls International-Einarson Field,INL,International Falls,Koochiching,"14,706",N,,,,,,No,,,,,,,,,,,,,,
MN,Range Regional,HIB,Hibbing,St. Louis,"12,394",N,,,,,,No,,,,,,,,,,,,,,
MO,Lambert-St Louis International,STL,St. Louis,St. Louis,"6,239,248",M,Marginal,Maintenance,,Moderate,,Yes,,,,,,,,,,,,,,
MO,Kansas City International,MCI,Kansas City,Platte,"5,135,127",M,,,,,,No,,,,,,,,,,,,,,
MO,Springfield-Branson National,SGF,Springfield,Greene,"447,843",S,,,,,,No,,,,,,,,,,,,,,
MO,Columbia Regional,COU,Columbia,Boone,"64,707",N,,,,,,No,,,,,,,,,,,,,,
MO,Joplin Regional,JLN,Joplin,Jasper,"28,306",N,,,,,,No,,,,,,,,,,,,,,
MO,Cape Girardeau Regional,CGI,Scott City,Scott,"6,213",None,,,,,,No,,,,,,,,,,,,,,
MO,Kirksville Regional,IRK,Kirksville,Adair,"5,167",None,,,,,,No,,,,,,,,,,,,,,
MP,Francisco C Ada/Saipan International,GSN,Saipan,Saipan,"455,232",S,,,,,,No,,,,,,,,,,,,,,
MP,Tinian International,TNI,Tinian (Municipality),Tinian,"46,977",N,,,,,,No,,,,,,,,,,,,,,
MP,Benjamin Taisacan Manglona International,GRO,Northern Islands (Municipality),N. Mariana Islands,"12,116",N,,,,,,No,,,,,,,,,,,,,,
MS,Jackson-Medgar Wiley Evers International,JAN,Jackson,Rankin,"497,042",S,,,,,,No,,,,,,,,,,,,,,
MS,Gulfport-Biloxi International,GPT,Gulfport,Harrison,"317,154",N,,,,,,No,,,,,,,,,,,,,,
MS,Golden Triangle Regional,GTR,Columbus,Lowndes,"38,632",N,,,,,,No,,,,,,,,,,,,,,
MS,Key Field,MEI,Meridian,Lauderdale,"24,685",N,,,,,,No,,,,,,,,,,,,,,
MS,Hattiesburg-Laurel Regional,PIB,Moselle,Jones,"12,947",N,,,,,,No,,,,,,,,,,,,,,
MS,Tunica Municipal,UTA,Tunica,Tunica,"9,532",None,,,,,,No,,,,,,,,,,,,,,
MS,Tupelo Regional,TUP,Tupelo,Lee,"2,560",None,,,,,,No,,,,,,,,,,,,,,
MT,Bozeman Yellowstone International,BZN,Bozeman,Gallatin,"512,042",S,,,,,,No,,,,,,,,,,,,,,
MT,Billings Logan International,BIL,Billings,Yellowstone,"420,426",S,,Maintenance,,,"C,D",Yes,,,,,,,,,,,,,,
MT,Missoula International,MSO,Missoula,Missoula,"350,172",N,,Maintenance,Moderate,,,Yes,,,,,,,,,,,,,,
MT,Glacier Park International,GPI,Kalispell,Flathead,"237,501",N,,,Moderate,,,Yes,,,,,,,,,,,,,,
MT,Great Falls International,GTF,Great Falls,Cascade,"182,635",N,,Maintenance,,,,Yes,,,,,,,,,,,,,,
MT,Helena Regional,HLN,Helena,Lewis & Clark,"99,460",N,,,,,"A,C",No,,,,,,,,,,,,,,
MT,Bert Mooney,BTM,Butte,Silver Bow,"27,448",N,,,Moderate,,,Yes,,,,,,,,,,,,,,
MT,Sidney-Richland Municipal,SDY,Sidney,Richland,"10,129",N,,,,,,No,,,,,,,,,,,,,,
MT,Yellowstone,WYS,West Yellowstone,Gallatin,"7,796",None,,,,,,No,,,,,,,,,,,,,,
MT,L M Clayton,OLF,Wolf Point,Roosevelt,"3,901",None,,,,,,No,,,,,,,,,,,,,,
MT,Wokal Field/Glasgow International,GGW,Glasgow,Valley,"3,758",None,,,,,,No,,,,,,,,,,,,,,
NC,Charlotte/Douglas International,CLT,Charlotte,Mecklenburg,"21,913,166",L,Maintenance,Maintenance,,,,Yes,,,,,,,,,,,,,,
NC,Raleigh-Durham International,RDU,Raleigh,Wake,"4,954,735",M,,Maintenance,,,,Yes,,,,,,,,,,,,,,
NC,Piedmont Triad International,GSO,Greensboro,Guilford,"848,249",S,,,,Maintenance,,Yes,,,,,,,,,,,,,,
NC,Asheville Regional,AVL,Asheville,Buncombe,"393,386",N,,,,,,No,,,,,,,,,,,,,,
NC,Wilmington International,ILM,Wilmington,New Hanover,"388,023",N,,,,,,No,,,,,,,,,,,,,,
NC,Fayetteville Regional/Grannis Field,FAY,Fayetteville,Cumberland,"220,339",N,,,,,,No,,,,,,,,,,,,,,
NC,Albert J Ellis,OAJ,Jacksonville,Onslow,"148,960",N,,,,,,No,,,,,,,,,,,,,,
NC,Coastal Carolina Regional,EWN,New Bern,Craven,"109,237",N,,,,,,No,,,,,,,,,,,,,,
NC,Concord Regional,JQF,Concord,Cabarrus,"73,727",N,Maintenance,,,,,Yes,,,,,,,,,,,,,,
NC,Pitt-Greenville,PGV,Greenville,Pitt,"55,017",N,,,,,,No,,,,,,,,,,,,,,
ND,Hector International,FAR,Fargo,Cass,"437,188",S,,,,,,No,,,,,,,,,,,,,,
ND,Bismarck Municipal,BIS,Bismarck,Burleigh,"262,469",N,,,,,,No,,,,,,,,,,,,,,
ND,Minot International,MOT,Minot,Ward,"181,328",N,,,,,,No,,,,,,,,,,,,,,
ND,Grand Forks International,GFK,Grand Forks,Grand Forks,"145,785",N,,,,,,No,,,,,,,,,,,,,,
ND,Sloulin Field International,ISN,Williston,Williams,"102,345",N,,,,,,No,,,,,,,,,,,,,,
ND,Dickinson - Theodore Roosevelt Regional,DIK,Dickinson,Stark,"41,925",N,,,,,,No,,,,,,,,,,,,,,
ND,Devils Lake Regional,DVL,Devils Lake,Ramsey,"6,180",None,,,,,,No,,,,,,,,,,,,,,
ND,Jamestown Regional,JMS,Jamestown,Stutsman,"6,086",None,,,,,,No,,,,,,,,,,,,,,
NE,Eppley Airfield,OMA,Omaha,Douglas,"2,046,179",M,,,,,,No,,,,,,,,,,,,,,
NE,Lincoln,LNK,Lincoln,Lancaster,"160,525",N,,,,,,No,,,,,,,,,,,,,,
NE,Central Nebraska Regional,GRI,Grand Island,Hall,"64,602",N,,,,,,No,,,,,,,,,,,,,,
NE,Western Nebraska Regional/William B Heilig Field,BFF,Scottsbluff,Scotts Bluff,"5,144",None,,,,,,No,,,,,,,,,,,,,,
NE,North Platte Regional Airport Lee Bird Field,LBF,North Platte,Lincoln,"4,628",None,,,,,,No,,,,,,,,,,,,,,
NE,Kearney Regional,EAR,Kearney,Buffalo,"4,543",None,,,,,,No,,,,,,,,,,,,,,
NH,Manchester,MHT,Manchester,Hillsborough,"1,026,349",S,,Maintenance,,,D,Yes,,,,,,,,,,,,,,
NH,Portsmouth International at Pease,PSM,Portsmouth,Rockingham,"45,933",N,,,,,,No,,,,,,,,,,,,,,
NH,Lebanon Municipal,LEB,Lebanon,Grafton,"10,144",N,,,,,,No,,,,,,,,,,,,,,
NJ,Newark Liberty International,EWR,Newark,Essex,"18,684,818",L,Moderate,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
NJ,Atlantic City International,ACY,Atlantic City,Atlantic,"587,967",S,Marginal,Maintenance,,,,Yes,,,,,,,,,,,,,,
NJ,Trenton Mercer,TTN,Trenton,Mercer,"389,598",N,Marginal,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
NM,Albuquerque International Sunport,ABQ,Albuquerque,Bernalillo,"2,323,883",M,,Maintenance,,,,Yes,,,,,,,,,,,,,,
NM,Santa Fe Municipal,SAF,Santa Fe,Sante Fe,"75,460",N,,,,,,No,,,,,,,,,,,,,,
NM,Roswell International Air Center,ROW,Roswell,Chaves,"35,411",N,,,,,,No,,,,,,,,,,,,,,
NM,Lea County Regional,HOB,Hobbs,Lea,"16,567",N,,,,,,No,,,,,,,,,,,,,,
NM,Clovis Municipal,CVN,Clovis,Curry,"4,799",None,,,,,,No,,,,,,,,,,,,,,
NM,Grant County,SVC,Silver City,Grant,"3,945",None,,,,,C,No,,,,,,,,,,,,,,
NM,Four Corners Regional,FMN,Farmington,San Juan,"3,083",None,,,,,,No,,,,,,,,,,,,,,
NV,McCarran International,LAS,Las Vegas,Clark,"21,857,693",L,,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
NV,Reno/Tahoe International,RNO,Reno,Washoe,"1,669,876",S,,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
NV,Boulder City Municipal,BVU,Boulder City,Clark,"234,101",N,,,,,,No,,,,,,,,,,,,,,
NV,Henderson Executive,HND,Las Vegas,Clark,"53,551",N,,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
NV,North Las Vegas,VGT,Las Vegas,Clark,"15,434",N,,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
NV,Elko Regional,EKO,Elko,Elko,"13,701",N,,,,,,No,,,,,,,,,,,,,,
NY,John F Kennedy International,JFK,New York,Queens,"27,782,369",L,Moderate,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
NY,Laguardia,LGA,New York,Queens,"14,319,924",L,Moderate,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
NY,Buffalo Niagara International,BUF,Buffalo,Erie,"2,336,431",M,,,,,,No,,,,,,,,,,,,,,
NY,Albany International,ALB,Albany,Albany,"1,276,793",S,,,,,,No,,,,,,,,,,,,,,
NY,Greater Rochester International,ROC,Rochester,Monroe,"1,177,994",S,,,,,,No,,,,,,,,,,,,,,
NY,Syracuse Hancock International,SYR,Syracuse,Onondaga,"987,732",S,,Maintenance,,,,Yes,,,,,,,,,,,,,,
NY,Westchester County,HPN,White Plains,Westchester,"757,466",S,Moderate,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
NY,Long Island MacArthur,ISP,Islip,Suffolk,"603,653",S,Moderate,,,Maintenance,,Yes,,,,,,,,,,,,,,
NY,Elmira/Corning Regional,ELM,Elmira,Chemung,"155,936",N,,,,,,No,,,,,,,,,,,,,,
NY,Stewart International,SWF,Newburgh,Orange,"142,603",N,,,,Maintenance,,Yes,,,,,,,,,,,,,,
NY,Plattsburgh International,PBG,Plattsburgh,Clinton,"131,600",N,,,,,,No,,,,,,,,,,,,,,
NY,Niagara Falls International,IAG,Niagara Falls,Niagara,"121,616",N,,,,,,No,,,,,,,,,,,,,,
NY,Ithaca Tompkins Regional,ITH,Ithaca,Tompkins,"87,321",N,,,,,,No,,,,,,,,,,,,,,
NY,Greater Binghamton/Edwin A Link Field,BGM,Binghamton,Broome,"77,654",N,,,,,,No,,,,,,,,,,,,,,
NY,Watertown International,ART,Watertown,Jefferson,"18,650",N,,,,,,No,,,,,,,,,,,,,,
NY,Ogdensburg International,OGS,Ogdensburg,St. Lawrence,"5,120",None,,,,,,No,,,,,,,,,,,,,,
NY,Adirondack Regional,SLK,Saranac Lake,Franklin,"5,047",None,,,,,,No,,,,,,,,,,,,,,
NY,Massena International-Richards Field,MSS,Massena,St. Lawrence,"4,462",None,,,,,,No,,,,,,,,,,,,,,
OH,Cleveland-Hopkins International,CLE,Cleveland,Cuyahoga,"3,916,922",M,Maintenance,Maintenance,Maintenance,Moderate,"A, C",Yes,,,,,,,,,,,,,,
OH,Port Columbus International,CMH,Columbus,Franklin,"3,312,496",M,Maintenance,,,Maintenance,,Yes,,,,,,,,,,,,,,
OH,James M Cox Dayton International,DAY,Dayton,Montgomery,"1,041,759",S,,,,Maintenance,,Yes,,,,,,,,,,,,,,
OH,Akron-Canton Regional,CAK,Akron,Summit,"759,335",S,Maintenance,,,Maintenance,,Yes,,,,,,,,,,,,,,
OH,Toledo Express,TOL,Toledo,Lucas,"94,044",N,,,,,C,No,,,,,,,,,,,,,,
OH,Rickenbacker International,LCK,Columbus,Franklin,"83,466",N,Maintenance,,,Maintenance,,Yes,,,,,,,,,,,,,,
OH,Youngstown-Warren Regional,YNG,Youngstown,Trumbull,"66,299",N,,,,,,No,,,,,,,,,,,,,,
OH,Cincinnati Municipal Airport Lunken Field,LUK,Cincinnati,Hamilton,"17,354",N,Maintenance,,,Maintenance,,Yes,,,,,,,,,,,,,,
OH,Burke Lakefront,BKL,Cleveland,Cuyahoga,"2,623",None,Maintenance,Maintenance,Maintenance,Moderate,"A, C",Yes,,,,,,,,,,,,,,
OK,Will Rogers World,OKC,Oklahoma City,Oklahoma,"1,803,188",S,,,,,,No,,,,,,,,,,,,,,
OK,Tulsa International,TUL,Tulsa,Tulsa,"1,359,582",S,,,,,,No,,,,,,,,,,,,,,
OK,Lawton-Fort Sill Regional,LAW,Lawton,Comanche,"51,859",N,,,,,,No,,,,,,,,,,,,,,
OR,Portland International,PDX,Portland,Multnomah,"8,340,252",L,,Maintenance,,,,Yes,,,,,,,,,,,,,,
OR,Mahlon Sweet Field,EUG,Eugene,Lane,"447,813",S,,Maintenance,Maintenance,Moderate,,Yes,,,,,,,,,,,,,,
OR,Rogue Valley International - Medford,MFR,Medford,Jackson,"370,187",N,,Maintenance,Maintenance,,,Yes,,,,,,,,,,,,,,
OR,Roberts Field,RDM,Redmond,Deschutes,"280,823",N,,,,,,No,,,,,,,,,,,,,,
OR,Southwest Oregon Regional,OTH,North Bend,Coos,"16,207",N,,,,,,No,,,,,,,,,,,,,,
OR,Eastern Oregon Regional at Pendleton,PDT,Pendleton,Umatilla,"4,277",None,,,,,,No,,,,,,,,,,,,,,
PA,Philadelphia International,PHL,Philadelphia,Philadelphia,"15,101,349",L,Marginal,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
PA,Pittsburgh International,PIT,Pittsburgh,Allegheny,"3,890,681",M,Marginal,Maintenance,,Maintenance,,Yes,,,,,,,,,,,,,,
PA,Harrisburg International,MDT,Harrisburg,Dauphin,"587,049",S,,,,Maintenance,,Yes,,,,,,,,,,,,,,
PA,Lehigh Valley International,ABE,Allentown,Lehigh,"320,544",N,Marginal,,,Maintenance,,Yes,,,,,,,,,,,,,,
PA,Wilkes-Barre/Scranton International,AVP,Avoca,Luzerne,"219,796",N,,,,,,No,,,,,,,,,,,,,,
PA,Arnold Palmer Regional,LBE,Latrobe,Westmoreland,"181,105",N,Marginal,,,Maintenance,,Yes,,,,,,,,,,,,,,
PA,University Park,UNV,State College,Centre,"139,124",N,,,,,,No,,,,,,,,,,,,,,
PA,Erie International/Tom Ridge Field,ERI,Erie,Erie,"88,953",N,,,,,,No,,,,,,,,,,,,,,
PA,Williamsport Regional,IPT,Williamsport,Lycoming,"21,923",N,,,,,,No,,,,,,,,,,,,,,
PA,John Murtha Johnstown-Cambria County,JST,Johnstown,Cambria,"4,338",None,,,,Maintenance,,Yes,,,,,,,,,,,,,,
PA,Bradford Regional,BFD,Bradford,McKean,"3,491",None,,,,,,No,,,,,,,,,,,,,,
PA,Dubois Regional,DUJ,Brookville,Jefferson,"3,215",None,,,,,,No,,,,,,,,,,,,,,
PR,Luis Munoz Marin International,SJU,San Juan,San Juan,"4,233,638",M,,,,,,No,,,,,,,,,,,,,,
PR,Rafael Hernandez,BQN,Aguadilla,Aguadilla,"202,197",N,,,,,,No,,,,,,,,,,,,,,
PR,Mercedita,PSE,Ponce,Ponce,"98,830",N,,,,,,No,,,,,,,,,,,,,,
PR,Antonio Rivera Rodriguez,VQS,Vieques,Vieques,"71,356",N,,,,,,No,,,,,,,,,,,,,,
PR,Jose Aponte De La Torre,RVR,Ceiba,Ceiba,"43,506",N,,,,,,No,,,,,,,,,,,,,,
PR,Benjamin Rivera Noriega,CPX,Culebra,Culebra,"32,907",N,,,,,,No,,,,,,,,,,,,,,
PR,Fernando Luis Ribas Dominicci,SIG,San Juan,San Juan,"26,203",N,,,,,,No,,,,,,,,,,,,,,
PR,Eugenio Maria De Hostos,MAZ,Mayaguez,Mayaguez,"5,900",None,,,,,,No,,,,,,,,,,,,,,
RI,Theodore Francis Green State,PVD,Warwick,Kent,"1,763,676",S,,,,,,No,,,,,,,,,,,,,,
RI,Block Island State,BID,Block Island,Washington,"12,415",N,,,,,,No,,,,,,,,,,,,,,
RI,Westerly State,WST,Westerly,Washington,"11,970",N,,,,,,No,,,,,,,,,,,,,,
SC,Charleston AFB/International,CHS,Charleston,Charleston,"1,669,988",S,,,,,,No,,,,,,,,,,,,,,
SC,Greenville Spartanburg International,GSP,Greer,Greenville,"955,097",S,,,,,,No,,,,,,,,,,,,,,
SC,Myrtle Beach International,MYR,Myrtle Beach,Horry,"899,859",S,,,,,,No,,,,,,,,,,,,,,
SC,Columbia Metropolitan,CAE,Columbia,Lexington,"533,575",S,,,,,,No,,,,,,,,,,,,,,
SC,Florence Regional,FLO,Florence,Florence,"52,611",N,,,,,,No,,,,,,,,,,,,,,
SC,Hilton Head,HXD,Hilton Head Island,Beaufort,"38,322",N,,,,,,No,,,,,,,,,,,,,,
SD,Joe Foss Field,FSD,Sioux Falls,Minnehaha,"493,530",S,,,,,,No,,,,,,,,,,,,,,
SD,Rapid City Regional,RAP,Rapid City,Pennington,"264,183",N,,,,,,No,,,,,,,,,,,,,,
SD,Aberdeen Regional,ABR,Aberdeen,Brown,"27,595",N,,,,,,No,,,,,,,,,,,,,,
SD,Pierre Regional,PIR,Pierre,Hughes,"6,664",None,,,,,,No,,,,,,,,,,,,,,
TN,Nashville International,BNA,Nashville,Davidson,"5,715,205",M,,,,,,No,,,,,,,,,,,,,,
TN,Memphis International,MEM,Memphis,Shelby,"1,873,716",S,Maintenance,Maintenance,,,B,Yes,,,,,,,,,,,,,,
TN,McGhee Tyson,TYS,Alcoa,Blount,"848,390",S,Maintenance,,,Moderate,,Yes,,,,,,,,,,,,,,
TN,Lovell Field,CHA,Chattanooga,Hamilton,"393,680",N,,,,Maintenance,,Yes,,,,,,,,,,,,,,
TN,Tri-Cities Regional TN/VA,TRI,Bristol/Johnson/Kingsport,Sullivan,"216,426",N,,,,,"B,C",No,,,,,,,,,,,,,,
TX,Dallas-Fort Worth International,DFW,Fort Worth,Tarrant,"31,589,839",L,Moderate,,,,,Yes,,,,,,,,,,,,,,
TX,George Bush Intercontinental/Houston,IAH,Houston,Harris ,"20,595,881",L,Moderate,,,,,Yes,,,,,,,,,,,,,,
TX,Dallas Love Field,DAL,Dallas,Dallas,"7,040,950",M,Moderate,,,,,Yes,,,,,,,,,,,,,,
TX,William P Hobby,HOU,Houston,Harris ,"5,937,990",M,Moderate,,,,,Yes,,,,,,,,,,,,,,
TX,Austin-Bergstrom International,AUS,Austin,Travis,"5,797,562",M,,,,,,No,,,,,,,,,,,,,,
TX,San Antonio International,SAT,San Antonio,Bexar,"4,091,434",M,,,,,,No,,,,,,,,,,,,,,
TX,El Paso International,ELP,El Paso,El Paso,"1,381,392",S,,Maintenance,Moderate,,,Yes,,,,,,,,,,,,,,
TX,Midland International,MAF,Midland,Midland,"518,509",S,,,,,,No,,,,,,,,,,,,,,
TX,Lubbock Preston Smith International,LBB,Lubbock,Lubbock,"443,239",S,,,,,,No,,,,,,,,,,,,,,
TX,McAllen Miller International,MFE,McAllen,Hidalgo,"391,687",N,,,,,,No,,,,,,,,,,,,,,
TX,Rick Husband Amarillo International,AMA,Amarillo,Potter,"341,132",N,,,,,,No,,,,,,,,,,,,,,
TX,Corpus Christi International,CRP,Corpus Christi,Nueces,"338,312",N,,,,,,No,,,,,,,,,,,,,,
TX,Valley International,HRL,Harlingen,Cameron,"259,864",N,,,,,,No,,,,,,,,,,,,,,
TX,Robert Gray AAF,GRK,Killeen,Bell,"176,895",N,,,,,,No,,,,,,,,,,,,,,
TX,Brownsville/South Padre Island International,BRO,Brownsville,Cameron,"143,353",N,,,,,,No,,,,,,,,,,,,,,
TX,Laredo International,LRD,Laredo,Webb,"110,368",N,,,,,,No,,,,,,,,,,,,,,
TX,Easterwood Field,CLL,College Station,Brazos,"89,844",N,,,,,,No,,,,,,,,,,,,,,
TX,Abilene Regional,ABI,Abilene,Taylor,"86,000",N,,,,,,No,,,,,,,,,,,,,,
TX,Tyler Pounds Regional,TYR,Tyler,Smith,"72,294",N,,,,,,No,,,,,,,,,,,,,,
TX,San Angelo Regional/Mathis Field,SJT,San Angelo,Tom Green,"63,842",N,,,,,,No,,,,,,,,,,,,,,
TX,Waco Regional,ACT,Waco,McLennan,"62,882",N,,,,,,No,,,,,,,,,,,,,,
TX,Sheppard AFB/Wichita Falls Municipal,SPS,Wichita Falls,Wichita,"44,262",N,,,,,,No,,,,,,,,,,,,,,
TX,Jack Brooks Regional,BPT,Beaumont,Jefferson,"33,747",N,,,,,,No,,,,,,,,,,,,,,
TX,East Texas Regional,GGG,Longview,Gregg,"20,968",N,,,,,,No,,,,,,,,,,,,,,
UT,Salt Lake City International,SLC,Salt Lake City,Salt Lake,"10,634,538",L,,Maintenance,Moderate,Nonattainment,C,Yes,,,,,,,,,,,,,,
